,Stampede_128MB_np6,Stampede_256MB_np6,Stampede_512MB_np6,Stampede_1024MB_np6,Bridges_256MB_np6,Summit_1024MB_np6,Comet_1024MB_np6,Laptop_1024MB_np4
MPIFFT_time0,1.08E-06,1.13E-06,5.58E-07,1.14E-06,8.91E-07,4.92E-07,8.94E-07,9.53997E-07
MPIFFT_time1,0.00998347,0.0182965,0.0380462,0.0727714,0.0466313,0.178813,0.0765824,0.04206
MPIFFT_time2,0.0135463,0.0299786,0.0615235,0.126176,0.0532485,0.163289,0.1304,0.108784
MPIFFT_time3,0.00571677,0.0115101,0.0232209,0.04545,0.0228408,0.113533,0.0513264,0.0201506
MPIFFT_time4,0.0384055,0.0805926,0.163424,0.357943,0.108255,0.548827,0.285463,0.151204
MPIFFT_time5,0.00865593,0.0175818,0.0365426,0.0711266,0.0286698,0.185025,0.0761171,0.0464637
MPIFFT_time6,4.95E-07,6.48E-07,4.88E-07,4.66E-07,1.20E-06,7.23E-07,3.93E-07,8.0929E-07
CPS_HPCC_FFT_235,0,0,0,0,0,0,0,0
CPS_HPCC_FFTW_ESTIMATE,0,0,0,0,0,0,0,0
CPS_HPCC_MEMALLCTR,0,0,0,0,0,0,0,0
CPS_HPL_USE_GETPROCESSTIMES,0,0,0,0,0,0,0,0
CPS_RA_SANDIA_NOPT,0,0,0,0,0,0,0,0
CPS_RA_SANDIA_OPT2,0,0,0,0,0,0,0,0
CPS_USING_FFTW,0,0,0,0,0,0,0,0
