,numprocs,matrix,time,system_id,solver_id,prec_id,status_id,matrix_id,new_time,good_or_bad
0,4,saylr3.mtx,0.5735100000000001,3,0,0,0,5054133946684947129,inf,-1
1,4,saylr3.mtx,0.0,3,0,1,-1,5054133946684947129,inf,-1
2,4,saylr3.mtx,0.382879,3,0,2,0,5054133946684947129,inf,-1
3,4,saylr3.mtx,0.0,3,0,3,-1,5054133946684947129,inf,-1
4,4,saylr3.mtx,0.0,3,0,4,-1,5054133946684947129,inf,-1
5,4,saylr3.mtx,0.0,3,1,0,-1,5054133946684947129,inf,-1
6,4,saylr3.mtx,0.0,3,1,1,-1,5054133946684947129,inf,-1
7,4,saylr3.mtx,0.0,3,1,2,-1,5054133946684947129,inf,-1
8,4,saylr3.mtx,0.0,3,1,3,-1,5054133946684947129,inf,-1
9,4,saylr3.mtx,0.0,3,1,4,-1,5054133946684947129,inf,-1
10,4,saylr3.mtx,0.470115,3,2,0,0,5054133946684947129,inf,-1
11,4,saylr3.mtx,0.462394,3,2,1,0,5054133946684947129,inf,-1
12,4,saylr3.mtx,0.470562,3,2,2,0,5054133946684947129,inf,-1
13,4,saylr3.mtx,0.466303,3,2,3,0,5054133946684947129,inf,-1
14,4,saylr3.mtx,0.464649,3,2,4,0,5054133946684947129,inf,-1
15,4,saylr3.mtx,0.0,3,3,0,-1,5054133946684947129,inf,-1
16,4,saylr3.mtx,0.0,3,3,1,-1,5054133946684947129,inf,-1
17,4,saylr3.mtx,0.0,3,3,2,-1,5054133946684947129,inf,-1
18,4,saylr3.mtx,0.0,3,3,3,-1,5054133946684947129,inf,-1
19,4,saylr3.mtx,0.0,3,3,4,-1,5054133946684947129,inf,-1
20,4,saylr3.mtx,0.0,3,5,0,-1,5054133946684947129,inf,-1
21,4,saylr3.mtx,0.0,3,5,1,-1,5054133946684947129,inf,-1
22,4,saylr3.mtx,0.0,3,5,2,-1,5054133946684947129,inf,-1
23,4,saylr3.mtx,0.0,3,5,3,-1,5054133946684947129,inf,-1
24,4,saylr3.mtx,0.0,3,5,4,-1,5054133946684947129,inf,-1
25,4,saylr3.mtx,0.250921,3,7,0,1,5054133946684947129,0.250921,1
26,4,saylr3.mtx,1.4542,3,7,1,0,5054133946684947129,inf,-1
27,4,saylr3.mtx,0.712517,3,7,2,1,5054133946684947129,0.712517,-1
