,numprocs,matrix,time,system_id,solver_id,prec_id,status_id,matrix_id,new_time,good_or_bad
0,20,saylr3.mtx,0.560208,3,0,0,0,5054133946684947129,inf,-1
1,20,saylr3.mtx,0.0,3,0,1,-1,5054133946684947129,inf,-1
2,20,saylr3.mtx,0.426608,3,0,2,0,5054133946684947129,inf,-1
3,20,saylr3.mtx,0.0,3,0,3,-1,5054133946684947129,inf,-1
4,20,saylr3.mtx,0.0,3,0,4,-1,5054133946684947129,inf,-1
5,20,saylr3.mtx,0.0,3,1,0,-1,5054133946684947129,inf,-1
6,20,saylr3.mtx,0.0,3,1,1,-1,5054133946684947129,inf,-1
7,20,saylr3.mtx,0.0,3,1,2,-1,5054133946684947129,inf,-1
8,20,saylr3.mtx,0.0,3,1,3,-1,5054133946684947129,inf,-1
9,20,saylr3.mtx,0.0,3,1,4,-1,5054133946684947129,inf,-1
10,20,saylr3.mtx,0.545934,3,2,0,0,5054133946684947129,inf,-1
11,20,saylr3.mtx,0.5403819999999999,3,2,1,0,5054133946684947129,inf,-1
12,20,saylr3.mtx,0.5409689999999999,3,2,2,0,5054133946684947129,inf,-1
13,20,saylr3.mtx,0.5434140000000001,3,2,3,0,5054133946684947129,inf,-1
14,20,saylr3.mtx,0.544514,3,2,4,0,5054133946684947129,inf,-1
15,20,saylr3.mtx,0.0,3,3,0,-1,5054133946684947129,inf,-1
16,20,saylr3.mtx,0.0,3,3,1,-1,5054133946684947129,inf,-1
17,20,saylr3.mtx,0.0,3,3,2,-1,5054133946684947129,inf,-1
18,20,saylr3.mtx,0.0,3,3,3,-1,5054133946684947129,inf,-1
19,20,saylr3.mtx,0.0,3,3,4,-1,5054133946684947129,inf,-1
20,20,saylr3.mtx,0.0,3,5,0,-1,5054133946684947129,inf,-1
21,20,saylr3.mtx,0.0,3,5,1,-1,5054133946684947129,inf,-1
22,20,saylr3.mtx,0.0,3,5,2,-1,5054133946684947129,inf,-1
23,20,saylr3.mtx,2.83787,3,5,3,0,5054133946684947129,inf,-1
24,20,saylr3.mtx,2.4273,3,5,4,0,5054133946684947129,inf,-1
25,20,saylr3.mtx,0.455509,3,7,0,1,5054133946684947129,0.455509,1
26,20,saylr3.mtx,3.16618,3,7,1,0,5054133946684947129,inf,-1
27,20,saylr3.mtx,1.22478,3,7,2,1,5054133946684947129,1.22478,-1
28,20,saylr3.mtx,0.527921,3,7,3,1,5054133946684947129,0.527921,1
29,20,saylr3.mtx,2.86489,3,7,4,0,5054133946684947129,inf,-1
30,20,saylr3.mtx,0.06444,3,8,0,0,5054133946684947129,inf,-1
