,numprocs,matrix,time,system_id,solver_id,prec_id,status_id,matrix_id,new_time,good_or_bad
0,1,saylr3.mtx,0.518424,3,0,0,0,5054133946684947129,inf,-1
1,1,saylr3.mtx,0.0,3,0,1,-1,5054133946684947129,inf,-1
2,1,saylr3.mtx,0.220539,3,0,2,0,5054133946684947129,inf,-1
3,1,saylr3.mtx,0.0,3,0,3,-1,5054133946684947129,inf,-1
4,1,saylr3.mtx,0.0,3,0,4,-1,5054133946684947129,inf,-1
5,1,saylr3.mtx,0.0,3,1,0,-1,5054133946684947129,inf,-1
6,1,saylr3.mtx,0.0,3,1,1,-1,5054133946684947129,inf,-1
7,1,saylr3.mtx,0.0,3,1,2,-1,5054133946684947129,inf,-1
8,1,saylr3.mtx,0.0,3,1,3,-1,5054133946684947129,inf,-1
9,1,saylr3.mtx,0.0,3,1,4,-1,5054133946684947129,inf,-1
10,1,saylr3.mtx,0.33673800000000004,3,2,0,0,5054133946684947129,inf,-1
11,1,saylr3.mtx,0.331489,3,2,1,0,5054133946684947129,inf,-1
12,1,saylr3.mtx,0.333458,3,2,2,0,5054133946684947129,inf,-1
13,1,saylr3.mtx,0.335004,3,2,3,0,5054133946684947129,inf,-1
14,1,saylr3.mtx,0.335245,3,2,4,0,5054133946684947129,inf,-1
15,1,saylr3.mtx,0.0,3,3,0,-1,5054133946684947129,inf,-1
16,1,saylr3.mtx,0.0,3,3,1,-1,5054133946684947129,inf,-1
17,1,saylr3.mtx,0.0,3,3,2,-1,5054133946684947129,inf,-1
18,1,saylr3.mtx,0.0,3,3,3,-1,5054133946684947129,inf,-1
19,1,saylr3.mtx,0.0,3,3,4,-1,5054133946684947129,inf,-1
20,1,saylr3.mtx,0.0,3,5,0,-1,5054133946684947129,inf,-1
21,1,saylr3.mtx,0.0,3,5,1,-1,5054133946684947129,inf,-1
22,1,saylr3.mtx,0.0,3,5,2,-1,5054133946684947129,inf,-1
23,1,saylr3.mtx,2.44045,3,5,3,0,5054133946684947129,inf,-1
24,1,saylr3.mtx,1.93539,3,5,4,0,5054133946684947129,inf,-1
25,1,saylr3.mtx,0.265175,3,7,0,1,5054133946684947129,0.265175,1
26,1,saylr3.mtx,1.41557,3,7,1,0,5054133946684947129,inf,-1
27,1,saylr3.mtx,0.59021,3,7,2,1,5054133946684947129,0.59021,-1
28,1,saylr3.mtx,0.6201810000000001,3,7,3,1,5054133946684947129,0.6201810000000001,-1
29,1,saylr3.mtx,0.882191,3,7,4,0,5054133946684947129,inf,-1
30,1,saylr3.mtx,0.0303161,3,8,0,0,5054133946684947129,inf,-1
31,1,saylr3.mtx,0.0,3,8,1,-1,5054133946684947129,inf,-1
32,1,saylr3.mtx,3.92836,3,8,2,0,5054133946684947129,inf,-1
33,1,saylr3.mtx,3.94275,3,8,3,0,5054133946684947129,inf,-1
34,1,saylr3.mtx,3.75002,3,8,4,0,5054133946684947129,inf,-1
35,1,sherman1.mtx,0.0311158,3,0,0,1,-1946102749737017214,0.0311158,-1
36,1,sherman1.mtx,0.0282149,3,0,1,1,-1946102749737017214,0.0282149,-1
37,1,sherman1.mtx,0.212853,3,0,2,0,-1946102749737017214,inf,-1
38,1,sherman1.mtx,0.0,3,0,3,-1,-1946102749737017214,inf,-1
39,1,sherman1.mtx,0.0,3,0,4,-1,-1946102749737017214,inf,-1
40,1,sherman1.mtx,0.00867319,3,1,0,1,-1946102749737017214,0.00867319,1
41,1,sherman1.mtx,0.00830698,3,1,1,1,-1946102749737017214,0.00830698,1
42,1,sherman1.mtx,0.0462782,3,1,2,1,-1946102749737017214,0.0462782,-1
43,1,sherman1.mtx,0.0,3,1,3,-1,-1946102749737017214,inf,-1
44,1,sherman1.mtx,0.0606813,3,1,4,1,-1946102749737017214,0.0606813,-1
45,1,sherman1.mtx,0.0163736,3,2,0,1,-1946102749737017214,0.0163736,-1
46,1,sherman1.mtx,0.0154712,3,2,1,1,-1946102749737017214,0.0154712,-1
47,1,sherman1.mtx,0.0152907,3,2,2,1,-1946102749737017214,0.0152907,-1
48,1,sherman1.mtx,0.0153208,3,2,3,1,-1946102749737017214,0.0153208,-1
49,1,sherman1.mtx,0.0147717,3,2,4,1,-1946102749737017214,0.0147717,-1
50,1,sherman1.mtx,0.0,3,3,0,-1,-1946102749737017214,inf,-1
51,1,sherman1.mtx,0.0,3,3,1,-1,-1946102749737017214,inf,-1
52,1,sherman1.mtx,0.0,3,3,2,-1,-1946102749737017214,inf,-1
53,1,sherman1.mtx,0.0,3,3,3,-1,-1946102749737017214,inf,-1
54,1,sherman1.mtx,0.0,3,3,4,-1,-1946102749737017214,inf,-1
55,1,sherman1.mtx,0.012475299999999998,3,5,0,1,-1946102749737017214,0.012475299999999998,-1
56,1,sherman1.mtx,0.012149600000000002,3,5,1,1,-1946102749737017214,0.012149600000000002,-1
57,1,sherman1.mtx,0.0738132,3,5,2,1,-1946102749737017214,0.0738132,-1
58,1,sherman1.mtx,0.06257769999999999,3,5,3,1,-1946102749737017214,0.06257769999999999,-1
59,1,sherman1.mtx,0.109595,3,5,4,1,-1946102749737017214,0.109595,-1
60,1,sherman1.mtx,0.267885,3,7,0,1,-1946102749737017214,0.267885,-1
61,1,sherman1.mtx,0.0522099,3,7,1,1,-1946102749737017214,0.0522099,-1
62,1,sherman1.mtx,0.559353,3,7,2,1,-1946102749737017214,0.559353,-1
63,1,sherman1.mtx,0.581585,3,7,3,1,-1946102749737017214,0.581585,-1
64,1,sherman1.mtx,0.786714,3,7,4,1,-1946102749737017214,0.786714,-1
65,1,sherman1.mtx,0.0144279,3,8,0,1,-1946102749737017214,0.0144279,-1
66,1,sherman1.mtx,0.0122969,3,8,1,1,-1946102749737017214,0.0122969,-1
67,1,sherman1.mtx,0.08237,3,8,2,1,-1946102749737017214,0.08237,-1
68,1,sherman1.mtx,0.080837,3,8,3,1,-1946102749737017214,0.080837,-1
69,1,sherman1.mtx,0.123405,3,8,4,1,-1946102749737017214,0.123405,-1
70,1,olm1000.mtx,0.0,3,0,0,-1,2952262366608134466,inf,-1
71,1,olm1000.mtx,0.0,3,0,1,-1,2952262366608134466,inf,-1
72,1,olm1000.mtx,0.0,3,0,2,-1,2952262366608134466,inf,-1
73,1,olm1000.mtx,0.0,3,0,3,-1,2952262366608134466,inf,-1
74,1,olm1000.mtx,0.0,3,0,4,-1,2952262366608134466,inf,-1
75,1,olm1000.mtx,0.00835347,3,1,0,1,2952262366608134466,0.00835347,-1
76,1,olm1000.mtx,0.0077765,3,1,1,1,2952262366608134466,0.0077765,-1
77,1,olm1000.mtx,1.7850099999999998,3,1,2,0,2952262366608134466,inf,-1
78,1,olm1000.mtx,1.80566,3,1,3,0,2952262366608134466,inf,-1
79,1,olm1000.mtx,1.70978,3,1,4,0,2952262366608134466,inf,-1
80,1,olm1000.mtx,0.329669,3,2,0,0,2952262366608134466,inf,-1
81,1,olm1000.mtx,0.32704,3,2,1,0,2952262366608134466,inf,-1
82,1,olm1000.mtx,0.330875,3,2,2,0,2952262366608134466,inf,-1
83,1,olm1000.mtx,0.33179000000000003,3,2,3,0,2952262366608134466,inf,-1
84,1,olm1000.mtx,0.331172,3,2,4,0,2952262366608134466,inf,-1
85,1,olm1000.mtx,0.0,3,3,0,-1,2952262366608134466,inf,-1
86,1,olm1000.mtx,0.0,3,3,1,-1,2952262366608134466,inf,-1
87,1,olm1000.mtx,0.0,3,3,2,-1,2952262366608134466,inf,-1
88,1,olm1000.mtx,0.0,3,3,3,-1,2952262366608134466,inf,-1
89,1,olm1000.mtx,0.0,3,3,4,-1,2952262366608134466,inf,-1
90,1,olm1000.mtx,0.0105026,3,5,0,1,2952262366608134466,0.0105026,-1
91,1,olm1000.mtx,0.0109088,3,5,1,1,2952262366608134466,0.0109088,-1
92,1,olm1000.mtx,2.30525,3,5,2,0,2952262366608134466,inf,-1
93,1,olm1000.mtx,2.40962,3,5,3,0,2952262366608134466,inf,-1
94,1,olm1000.mtx,1.91213,3,5,4,0,2952262366608134466,inf,-1
95,1,olm1000.mtx,1.40222,3,7,0,0,2952262366608134466,inf,-1
96,1,olm1000.mtx,0.010783,3,7,1,1,2952262366608134466,0.010783,-1
97,1,olm1000.mtx,0.368865,3,7,2,1,2952262366608134466,0.368865,-1
98,1,olm1000.mtx,0.398705,3,7,3,1,2952262366608134466,0.398705,-1
99,1,olm1000.mtx,0.23260300000000006,3,7,4,1,2952262366608134466,0.23260300000000006,-1
100,1,olm1000.mtx,0.00843573,3,8,0,1,2952262366608134466,0.00843573,-1
101,1,olm1000.mtx,0.00616956,3,8,1,1,2952262366608134466,0.00616956,1
102,1,olm1000.mtx,6.155869999999998,3,8,2,0,2952262366608134466,inf,-1
103,1,olm1000.mtx,0.0,3,8,3,-1,2952262366608134466,inf,-1
104,1,olm1000.mtx,3.68277,3,8,4,0,2952262366608134466,inf,-1
105,1,tub1000.mtx,0.0,3,0,0,-1,623749945307268439,inf,-1
106,1,tub1000.mtx,0.0,3,0,1,-1,623749945307268439,inf,-1
107,1,tub1000.mtx,0.214294,3,0,2,0,623749945307268439,inf,-1
108,1,tub1000.mtx,0.0,3,0,3,-1,623749945307268439,inf,-1
109,1,tub1000.mtx,0.0,3,0,4,-1,623749945307268439,inf,-1
110,1,tub1000.mtx,0.0041275,3,1,0,1,623749945307268439,0.0041275,1
111,1,tub1000.mtx,0.00401378,3,1,1,1,623749945307268439,0.00401378,1
112,1,tub1000.mtx,0.212972,3,1,2,1,623749945307268439,0.212972,-1
113,1,tub1000.mtx,0.246034,3,1,3,1,623749945307268439,0.246034,-1
114,1,tub1000.mtx,0.265629,3,1,4,1,623749945307268439,0.265629,-1
115,1,tub1000.mtx,0.33307800000000004,3,2,0,0,623749945307268439,inf,-1
116,1,tub1000.mtx,0.328809,3,2,1,0,623749945307268439,inf,-1
117,1,tub1000.mtx,0.329977,3,2,2,0,623749945307268439,inf,-1
118,1,tub1000.mtx,0.330012,3,2,3,0,623749945307268439,inf,-1
119,1,tub1000.mtx,0.331177,3,2,4,0,623749945307268439,inf,-1
120,1,tub1000.mtx,0.0,3,3,0,-1,623749945307268439,inf,-1
121,1,tub1000.mtx,0.0,3,3,1,-1,623749945307268439,inf,-1
122,1,tub1000.mtx,0.0,3,3,2,-1,623749945307268439,inf,-1
123,1,tub1000.mtx,0.0,3,3,3,-1,623749945307268439,inf,-1
124,1,tub1000.mtx,0.0,3,3,4,-1,623749945307268439,inf,-1
125,1,tub1000.mtx,0.00398326,3,5,0,1,623749945307268439,0.00398326,1
126,1,tub1000.mtx,0.003582,3,5,1,1,623749945307268439,0.003582,1
127,1,tub1000.mtx,0.452928,3,5,2,1,623749945307268439,0.452928,-1
128,1,tub1000.mtx,0.774963,3,5,3,1,623749945307268439,0.774963,-1
129,1,tub1000.mtx,0.479875,3,5,4,1,623749945307268439,0.479875,-1
130,1,tub1000.mtx,1.37629,3,7,0,0,623749945307268439,inf,-1
131,1,tub1000.mtx,0.00570989,3,7,1,1,623749945307268439,0.00570989,-1
132,1,tub1000.mtx,1.6477700000000002,3,7,2,0,623749945307268439,inf,-1
133,1,tub1000.mtx,1.7127400000000002,3,7,3,0,623749945307268439,inf,-1
134,1,tub1000.mtx,0.8602129999999999,3,7,4,0,623749945307268439,inf,-1
135,1,tub1000.mtx,0.00541162,3,8,0,1,623749945307268439,0.00541162,-1
136,1,tub1000.mtx,0.00376463,3,8,1,1,623749945307268439,0.00376463,1
137,1,tub1000.mtx,3.87034,3,8,2,0,623749945307268439,inf,-1
138,1,tub1000.mtx,3.88116,3,8,3,0,623749945307268439,inf,-1
139,1,tub1000.mtx,3.6778,3,8,4,0,623749945307268439,inf,-1
140,1,cage8.mtx,0.00400591,3,0,0,1,-6847664512012962880,0.00400591,-1
141,1,cage8.mtx,0.00214052,3,0,1,1,-6847664512012962880,0.00214052,-1
142,1,cage8.mtx,0.012275200000000002,3,0,2,1,-6847664512012962880,0.012275200000000002,-1
143,1,cage8.mtx,0.0,3,0,3,-1,-6847664512012962880,inf,-1
144,1,cage8.mtx,0.00320029,3,0,4,1,-6847664512012962880,0.00320029,-1
145,1,cage8.mtx,0.00327396,3,1,0,1,-6847664512012962880,0.00327396,-1
146,1,cage8.mtx,0.00265479,3,1,1,1,-6847664512012962880,0.00265479,-1
147,1,cage8.mtx,0.00191998,3,1,2,1,-6847664512012962880,0.00191998,-1
148,1,cage8.mtx,0.00241208,3,1,3,1,-6847664512012962880,0.00241208,-1
149,1,cage8.mtx,0.00404429,3,1,4,1,-6847664512012962880,0.00404429,-1
150,1,cage8.mtx,0.4270560000000001,3,2,0,0,-6847664512012962880,inf,-1
151,1,cage8.mtx,0.427279,3,2,1,0,-6847664512012962880,inf,-1
152,1,cage8.mtx,0.430261,3,2,2,0,-6847664512012962880,inf,-1
153,1,cage8.mtx,0.4305060000000001,3,2,3,0,-6847664512012962880,inf,-1
154,1,cage8.mtx,0.424844,3,2,4,0,-6847664512012962880,inf,-1
155,1,cage8.mtx,0.0027864,3,3,0,1,-6847664512012962880,0.0027864,-1
156,1,cage8.mtx,0.00194168,3,3,1,1,-6847664512012962880,0.00194168,-1
157,1,cage8.mtx,0.00117874,3,3,2,1,-6847664512012962880,0.00117874,1
158,1,cage8.mtx,0.00180721,3,3,3,1,-6847664512012962880,0.00180721,-1
159,1,cage8.mtx,0.00246358,3,3,4,1,-6847664512012962880,0.00246358,-1
160,1,cage8.mtx,0.00362706,3,5,0,1,-6847664512012962880,0.00362706,-1
161,1,cage8.mtx,0.00304532,3,5,1,1,-6847664512012962880,0.00304532,-1
162,1,cage8.mtx,0.0027566,3,5,2,1,-6847664512012962880,0.0027566,-1
163,1,cage8.mtx,0.00340366,3,5,3,1,-6847664512012962880,0.00340366,-1
164,1,cage8.mtx,0.0,3,5,4,-1,-6847664512012962880,inf,-1
165,1,cage8.mtx,0.0185487,3,7,0,1,-6847664512012962880,0.0185487,-1
166,1,cage8.mtx,0.00409698,3,7,1,1,-6847664512012962880,0.00409698,-1
167,1,cage8.mtx,0.00591207,3,7,2,1,-6847664512012962880,0.00591207,-1
168,1,cage8.mtx,0.00653839,3,7,3,1,-6847664512012962880,0.00653839,-1
169,1,cage8.mtx,0.00616431,3,7,4,1,-6847664512012962880,0.00616431,-1
170,1,cage8.mtx,0.00484848,3,8,0,1,-6847664512012962880,0.00484848,-1
171,1,cage8.mtx,0.0029161,3,8,1,1,-6847664512012962880,0.0029161,-1
172,1,cage8.mtx,0.00347304,3,8,2,1,-6847664512012962880,0.00347304,-1
173,1,cage8.mtx,0.003824,3,8,3,1,-6847664512012962880,0.003824,-1
174,1,cage8.mtx,0.00398564,3,8,4,1,-6847664512012962880,0.00398564,-1
175,1,circuit204.mtx,0.0,3,0,0,-1,1149208828897789597,inf,-1
176,1,circuit204.mtx,0.0,3,0,1,-1,1149208828897789597,inf,-1
177,1,circuit204.mtx,0.0,3,0,2,-1,1149208828897789597,inf,-1
178,1,circuit204.mtx,0.0,3,0,3,-1,1149208828897789597,inf,-1
179,1,circuit204.mtx,0.0,3,0,4,-1,1149208828897789597,inf,-1
180,1,circuit204.mtx,0.0,3,1,0,-1,1149208828897789597,inf,-1
181,1,circuit204.mtx,0.0,3,1,1,-1,1149208828897789597,inf,-1
182,1,circuit204.mtx,0.0,3,1,2,-1,1149208828897789597,inf,-1
183,1,circuit204.mtx,1.93916,3,1,3,0,1149208828897789597,inf,-1
184,1,circuit204.mtx,1.80102,3,1,4,0,1149208828897789597,inf,-1
185,1,circuit204.mtx,0.365648,3,2,0,0,1149208828897789597,inf,-1
186,1,circuit204.mtx,0.36571,3,2,1,0,1149208828897789597,inf,-1
187,1,circuit204.mtx,0.367606,3,2,2,0,1149208828897789597,inf,-1
188,1,circuit204.mtx,0.371711,3,2,3,0,1149208828897789597,inf,-1
189,1,circuit204.mtx,0.364685,3,2,4,0,1149208828897789597,inf,-1
190,1,circuit204.mtx,0.0,3,3,0,-1,1149208828897789597,inf,-1
191,1,circuit204.mtx,0.0,3,3,1,-1,1149208828897789597,inf,-1
192,1,circuit204.mtx,0.0,3,3,2,-1,1149208828897789597,inf,-1
193,1,circuit204.mtx,0.0,3,3,3,-1,1149208828897789597,inf,-1
