classifier,sampler,np_a,np_b,fold,AUC,time
AdaBoost,SMOTETomek,1,12,avg,0.737
AdaBoost,RandomOverSampler,1,12,0,0.74,3.643
AdaBoost,RandomOverSampler,1,12,1,0.745,3.684
AdaBoost,RandomOverSampler,1,12,2,0.777,3.675
AdaBoost,RandomOverSampler,1,12,avg,0.754
GradientBoosting,DummySampler,12,1,0,0.779,6.043
GradientBoosting,DummySampler,12,1,1,0.743,5.572
GradientBoosting,DummySampler,12,1,2,0.784,5.401
GradientBoosting,DummySampler,12,1,avg,0.768
GradientBoosting,SMOTE,12,1,0,0.8,19.355
GradientBoosting,SMOTE,12,1,1,0.869,20.949
GradientBoosting,SMOTE,12,1,2,0.811,18.489
GradientBoosting,SMOTE,12,1,avg,0.827
GradientBoosting,SMOTEENN,12,1,0,0.79,22.133
GradientBoosting,SMOTEENN,12,1,1,0.869,23.375
GradientBoosting,SMOTEENN,12,1,2,0.814,27.389
GradientBoosting,SMOTEENN,12,1,avg,0.824
GradientBoosting,SMOTETomek,12,1,0,0.789,30.51
GradientBoosting,SMOTETomek,12,1,1,0.862,20.966
GradientBoosting,SMOTETomek,12,1,2,0.79,21.158
GradientBoosting,SMOTETomek,12,1,avg,0.814
GradientBoosting,RandomOverSampler,12,1,0,0.807,14.402
GradientBoosting,RandomOverSampler,12,1,1,0.795,14.475
GradientBoosting,RandomOverSampler,12,1,2,0.82,18.831
GradientBoosting,RandomOverSampler,12,1,avg,0.808
RandomForest,DummySampler,12,1,0,0.564,0.461
RandomForest,DummySampler,12,1,1,0.626,0.46
RandomForest,DummySampler,12,1,2,0.709,0.453
RandomForest,DummySampler,12,1,avg,0.633
RandomForest,SMOTE,12,1,0,0.535,1.494
RandomForest,SMOTE,12,1,1,0.688,1.772
RandomForest,SMOTE,12,1,2,0.714,1.433
RandomForest,SMOTE,12,1,avg,0.646
RandomForest,SMOTEENN,12,1,0,0.596,3.755
RandomForest,SMOTEENN,12,1,1,0.724,2.823
RandomForest,SMOTEENN,12,1,2,0.733,3.305
RandomForest,SMOTEENN,12,1,avg,0.684
RandomForest,SMOTETomek,12,1,0,0.585,6.394
RandomForest,SMOTETomek,12,1,1,0.696,3.439
RandomForest,SMOTETomek,12,1,2,0.693,4.969
RandomForest,SMOTETomek,12,1,avg,0.658
RandomForest,RandomOverSampler,12,1,0,0.558,0.768
RandomForest,RandomOverSampler,12,1,1,0.681,0.652
RandomForest,RandomOverSampler,12,1,2,0.698,0.653
RandomForest,RandomOverSampler,12,1,avg,0.645
AdaBoost,DummySampler,12,1,0,0.774,2.324
AdaBoost,DummySampler,12,1,1,0.775,2.343
AdaBoost,DummySampler,12,1,2,0.687,2.385
AdaBoost,DummySampler,12,1,avg,0.745
AdaBoost,SMOTE,12,1,0,0.792,7.488
AdaBoost,SMOTE,12,1,1,0.787,7.926
AdaBoost,SMOTE,12,1,2,0.755,7.657
AdaBoost,SMOTE,12,1,avg,0.778
AdaBoost,SMOTEENN,12,1,0,0.81,9.388
AdaBoost,SMOTEENN,12,1,1,0.784,8.715
AdaBoost,SMOTEENN,12,1,2,0.737,8.55
AdaBoost,SMOTEENN,12,1,avg,0.777
AdaBoost,SMOTETomek,12,1,0,0.771,11.879
AdaBoost,SMOTETomek,12,1,1,0.781,10.988
AdaBoost,SMOTETomek,12,1,2,0.71,12.732
AdaBoost,SMOTETomek,12,1,avg,0.754
AdaBoost,RandomOverSampler,12,1,0,0.761,5.172
AdaBoost,RandomOverSampler,12,1,1,0.811,4.709
AdaBoost,RandomOverSampler,12,1,2,0.769,4.374
AdaBoost,RandomOverSampler,12,1,avg,0.78
GradientBoosting,DummySampler,12,12,0,0.736,5.747
GradientBoosting,DummySampler,12,12,1,0.694,6.905
GradientBoosting,DummySampler,12,12,2,0.7,6.587
GradientBoosting,DummySampler,12,12,avg,0.71
GradientBoosting,SMOTE,12,12,0,0.741,19.196
GradientBoosting,SMOTE,12,12,1,0.781,18.33
GradientBoosting,SMOTE,12,12,2,0.767,17.89
GradientBoosting,SMOTE,12,12,avg,0.763
GradientBoosting,SMOTEENN,12,12,0,0.741,20.255
GradientBoosting,SMOTEENN,12,12,1,0.789,20.3
GradientBoosting,SMOTEENN,12,12,2,0.753,18.623
GradientBoosting,SMOTEENN,12,12,avg,0.761
GradientBoosting,SMOTETomek,12,12,0,0.731,23.457
GradientBoosting,SMOTETomek,12,12,1,0.797,22.99
GradientBoosting,SMOTETomek,12,12,2,0.769,21.851
GradientBoosting,SMOTETomek,12,12,avg,0.766
GradientBoosting,RandomOverSampler,12,12,0,0.771,17.992
GradientBoosting,RandomOverSampler,12,12,1,0.724,20.624
GradientBoosting,RandomOverSampler,12,12,2,0.761,21.064
GradientBoosting,RandomOverSampler,12,12,avg,0.752
RandomForest,DummySampler,12,12,0,0.617,0.552
RandomForest,DummySampler,12,12,1,0.572,0.71
RandomForest,DummySampler,12,12,2,0.674,0.339
RandomForest,DummySampler,12,12,avg,0.621
RandomForest,SMOTE,12,12,0,0.532,2.151
RandomForest,SMOTE,12,12,1,0.604,1.806
RandomForest,SMOTE,12,12,2,0.652,2.506
RandomForest,SMOTE,12,12,avg,0.596
RandomForest,SMOTEENN,12,12,0,0.512,4.823
RandomForest,SMOTEENN,12,12,1,0.603,2.847
RandomForest,SMOTEENN,12,12,2,0.646,3.433
RandomForest,SMOTEENN,12,12,avg,0.587
RandomForest,SMOTETomek,12,12,0,0.501,7.58
RandomForest,SMOTETomek,12,12,1,0.633,4.374
RandomForest,SMOTETomek,12,12,2,0.672,5.769
RandomForest,SMOTETomek,12,12,avg,0.602
RandomForest,RandomOverSampler,12,12,0,0.599,1.453
RandomForest,RandomOverSampler,12,12,1,0.581,0.713
RandomForest,RandomOverSampler,12,12,2,0.699,0.673
RandomForest,RandomOverSampler,12,12,avg,0.626
AdaBoost,DummySampler,12,12,0,0.733,2.905
AdaBoost,DummySampler,12,12,1,0.719,4.212
AdaBoost,DummySampler,12,12,2,0.65,2.59
AdaBoost,DummySampler,12,12,avg,0.701
AdaBoost,SMOTE,12,12,0,0.736,8.881
AdaBoost,SMOTE,12,12,1,0.732,10.044
AdaBoost,SMOTE,12,12,2,0.66,7.193
AdaBoost,SMOTE,12,12,avg,0.709
AdaBoost,SMOTEENN,12,12,0,0.753,9.219
AdaBoost,SMOTEENN,12,12,1,0.752,8.239
AdaBoost,SMOTEENN,12,12,2,0.711,8.158
AdaBoost,SMOTEENN,12,12,avg,0.738
AdaBoost,SMOTETomek,12,12,0,0.708,11.662
AdaBoost,SMOTETomek,12,12,1,0.755,9.758
AdaBoost,SMOTETomek,12,12,2,0.709,11.725
AdaBoost,SMOTETomek,12,12,avg,0.724
AdaBoost,RandomOverSampler,12,12,0,0.716,4.751
AdaBoost,RandomOverSampler,12,12,1,0.731,4.763
AdaBoost,RandomOverSampler,12,12,2,0.664,4.676
AdaBoost,RandomOverSampler,12,12,avg,0.704
