,system,np,matrix,solver,prec,status,time,iters,resid,system_id,solver_id,prec_id,status_id,good_or_bad,new_time,matrix_id
37,bridges,28,sherman1.mtx,FIXED_POINT,RELAXATION,unconverged,0.490216,10000.0,0.00537499,1,0,2,0,-1,inf,-1946102749737017214
38,bridges,28,sherman1.mtx,FIXED_POINT,CHEBYSHEV,error,0.0,,,1,0,3,-1,-1,inf,-1946102749737017214
39,bridges,28,sherman1.mtx,FIXED_POINT,NONE,error,0.0,,,1,0,4,-1,-1,inf,-1946102749737017214
40,bridges,28,sherman1.mtx,BICGSTAB,ILUT,converged,0.020674900000000003,46.0,9.25862e-07,1,1,0,1,-1,0.020674900000000003,-1946102749737017214
41,bridges,28,sherman1.mtx,BICGSTAB,RILUK,converged,0.015899700000000003,46.0,9.23745e-07,1,1,1,1,1,0.015899700000000003,-1946102749737017214
42,bridges,28,sherman1.mtx,BICGSTAB,RELAXATION,converged,0.07299850000000001,244.0,6.63599e-07,1,1,2,1,-1,0.07299850000000001,-1946102749737017214
43,bridges,28,sherman1.mtx,BICGSTAB,CHEBYSHEV,error,0.0,,,1,1,3,-1,-1,inf,-1946102749737017214
44,bridges,28,sherman1.mtx,BICGSTAB,NONE,converged,0.09571619999999999,334.0,9.573359999999999e-07,1,1,4,1,-1,0.09571619999999999,-1946102749737017214
45,bridges,28,sherman1.mtx,MINRES,ILUT,converged,0.051683400000000004,428.0,9.7965e-07,1,2,0,1,-1,0.051683400000000004,-1946102749737017214
46,bridges,28,sherman1.mtx,MINRES,RILUK,converged,0.029053899999999997,428.0,9.7965e-07,1,2,1,1,-1,0.029053899999999997,-1946102749737017214
47,bridges,28,sherman1.mtx,MINRES,RELAXATION,converged,0.0293164,428.0,9.7965e-07,1,2,2,1,-1,0.0293164,-1946102749737017214
48,bridges,28,sherman1.mtx,MINRES,CHEBYSHEV,converged,0.040616,428.0,9.7965e-07,1,2,3,1,-1,0.040616,-1946102749737017214
49,bridges,28,sherman1.mtx,MINRES,NONE,converged,0.0322351,428.0,9.7965e-07,1,2,4,1,-1,0.0322351,-1946102749737017214
50,bridges,28,sherman1.mtx,PSEUDOBLOCK_CG,ILUT,error,0.0,,,1,3,0,-1,-1,inf,-1946102749737017214
51,bridges,28,sherman1.mtx,PSEUDOBLOCK_CG,RILUK,error,0.0,,,1,3,1,-1,-1,inf,-1946102749737017214
52,bridges,28,sherman1.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0.0,,,1,3,2,-1,-1,inf,-1946102749737017214
53,bridges,28,sherman1.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0.0,,,1,3,3,-1,-1,inf,-1946102749737017214
54,bridges,28,sherman1.mtx,PSEUDOBLOCK_CG,NONE,error,0.0,,,1,3,4,-1,-1,inf,-1946102749737017214
55,bridges,28,sherman1.mtx,PSEUDOBLOCK_TFQMR,ILUT,converged,0.0537031,66.0,3.60242e-07,1,5,0,1,-1,0.0537031,-1946102749737017214
56,bridges,28,sherman1.mtx,PSEUDOBLOCK_TFQMR,RILUK,converged,0.026482099999999998,66.0,3.5858e-07,1,5,1,1,-1,0.026482099999999998,-1946102749737017214
57,bridges,28,sherman1.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,converged,0.10612200000000001,316.0,2.76402e-07,1,5,2,1,-1,0.10612200000000001,-1946102749737017214
58,bridges,28,sherman1.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.6857599999999997,10000.0,128.142,1,5,3,0,-1,inf,-1946102749737017214
59,bridges,28,sherman1.mtx,PSEUDOBLOCK_TFQMR,NONE,converged,0.181818,623.0,8.59538e-07,1,5,4,1,-1,0.181818,-1946102749737017214
60,bridges,28,sherman1.mtx,LSQR,ILUT,converged,0.2583,986.0,,1,7,0,1,-1,0.2583,-1946102749737017214
61,bridges,28,sherman1.mtx,LSQR,RILUK,converged,0.140048,548.0,,1,7,1,1,-1,0.140048,-1946102749737017214
62,bridges,28,sherman1.mtx,LSQR,RELAXATION,converged,0.648618,3204.0,,1,7,2,1,-1,0.648618,-1946102749737017214
63,bridges,28,sherman1.mtx,LSQR,CHEBYSHEV,converged,0.6290640000000001,3001.0,,1,7,3,1,-1,0.6290640000000001,-1946102749737017214
64,bridges,28,sherman1.mtx,LSQR,NONE,converged,0.985297,8886.0,,1,7,4,1,-1,0.985297,-1946102749737017214
65,bridges,28,sherman1.mtx,PSEUDOBLOCK_GMRES,ILUT,converged,0.0931952,72.0,8.421120000000001e-07,1,8,0,1,-1,0.0931952,-1946102749737017214
66,bridges,28,sherman1.mtx,PSEUDOBLOCK_GMRES,RILUK,converged,0.0272255,72.0,8.421120000000001e-07,1,8,1,1,-1,0.0272255,-1946102749737017214
67,bridges,28,sherman1.mtx,PSEUDOBLOCK_GMRES,RELAXATION,converged,0.0831168,225.0,9.4501e-07,1,8,2,1,-1,0.0831168,-1946102749737017214
68,bridges,28,sherman1.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,3.3520199999999996,10000.0,0.8414780000000001,1,8,3,0,-1,inf,-1946102749737017214
69,bridges,28,sherman1.mtx,PSEUDOBLOCK_GMRES,NONE,converged,0.10921700000000001,348.0,9.83722e-07,1,8,4,1,-1,0.10921700000000001,-1946102749737017214
70,bridges,28,olm1000.mtx,FIXED_POINT,ILUT,unconverged,0.59226,10000.0,inf,1,0,0,0,-1,inf,2952262366608134466
71,bridges,28,olm1000.mtx,FIXED_POINT,RILUK,unconverged,0.581789,10000.0,inf,1,0,1,0,-1,inf,2952262366608134466
72,bridges,28,olm1000.mtx,FIXED_POINT,RELAXATION,error,0.0,,,1,0,2,-1,-1,inf,2952262366608134466
73,bridges,28,olm1000.mtx,FIXED_POINT,CHEBYSHEV,error,0.0,,,1,0,3,-1,-1,inf,2952262366608134466
74,bridges,28,olm1000.mtx,FIXED_POINT,NONE,error,0.0,,,1,0,4,-1,-1,inf,2952262366608134466
75,bridges,28,olm1000.mtx,BICGSTAB,ILUT,converged,0.0697684,135.0,1.8372399999999998e-07,1,1,0,1,-1,0.0697684,2952262366608134466
76,bridges,28,olm1000.mtx,BICGSTAB,RILUK,converged,0.0577352,181.0,4.1333599999999996e-07,1,1,1,1,-1,0.0577352,2952262366608134466
77,bridges,28,olm1000.mtx,BICGSTAB,RELAXATION,error,0.0,,,1,1,2,-1,-1,inf,2952262366608134466
78,bridges,28,olm1000.mtx,BICGSTAB,CHEBYSHEV,error,0.0,,,1,1,3,-1,-1,inf,2952262366608134466
79,bridges,28,olm1000.mtx,BICGSTAB,NONE,error,0.0,,,1,1,4,-1,-1,inf,2952262366608134466
80,bridges,28,olm1000.mtx,MINRES,ILUT,unconverged,0.57595,10000.0,0.0751425,1,2,0,0,-1,inf,2952262366608134466
81,bridges,28,olm1000.mtx,MINRES,RILUK,unconverged,0.553203,10000.0,0.0751425,1,2,1,0,-1,inf,2952262366608134466
82,bridges,28,olm1000.mtx,MINRES,RELAXATION,unconverged,0.586824,10000.0,0.0751425,1,2,2,0,-1,inf,2952262366608134466
83,bridges,28,olm1000.mtx,MINRES,CHEBYSHEV,unconverged,0.548221,10000.0,0.0751425,1,2,3,0,-1,inf,2952262366608134466
84,bridges,28,olm1000.mtx,MINRES,NONE,unconverged,0.553488,10000.0,0.0751425,1,2,4,0,-1,inf,2952262366608134466
85,bridges,28,olm1000.mtx,PSEUDOBLOCK_CG,ILUT,error,0.0,,,1,3,0,-1,-1,inf,2952262366608134466
86,bridges,28,olm1000.mtx,PSEUDOBLOCK_CG,RILUK,error,0.0,,,1,3,1,-1,-1,inf,2952262366608134466
87,bridges,28,olm1000.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0.0,,,1,3,2,-1,-1,inf,2952262366608134466
88,bridges,28,olm1000.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0.0,,,1,3,3,-1,-1,inf,2952262366608134466
89,bridges,28,olm1000.mtx,PSEUDOBLOCK_CG,NONE,error,0.0,,,1,3,4,-1,-1,inf,2952262366608134466
90,bridges,28,olm1000.mtx,PSEUDOBLOCK_TFQMR,ILUT,converged,0.0805063,168.0,3.46109e-07,1,5,0,1,-1,0.0805063,2952262366608134466
91,bridges,28,olm1000.mtx,PSEUDOBLOCK_TFQMR,RILUK,converged,0.0661738,188.0,9.96872e-07,1,5,1,1,-1,0.0661738,2952262366608134466
92,bridges,28,olm1000.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,unconverged,3.2360700000000002,10000.0,141.24200000000002,1,5,2,0,-1,inf,2952262366608134466
93,bridges,28,olm1000.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.11312,10000.0,141.405,1,5,3,0,-1,inf,2952262366608134466
94,bridges,28,olm1000.mtx,PSEUDOBLOCK_TFQMR,NONE,error,0.0,,,1,5,4,-1,-1,inf,2952262366608134466
95,bridges,28,olm1000.mtx,LSQR,ILUT,converged,0.597617,2534.0,,1,7,0,1,-1,0.597617,2952262366608134466
96,bridges,28,olm1000.mtx,LSQR,RILUK,converged,0.00620031,17.0,,1,7,1,1,1,0.00620031,2952262366608134466
97,bridges,28,olm1000.mtx,LSQR,RELAXATION,converged,0.414246,2272.0,,1,7,2,1,-1,0.414246,2952262366608134466
98,bridges,28,olm1000.mtx,LSQR,CHEBYSHEV,converged,0.755308,4143.0,,1,7,3,1,-1,0.755308,2952262366608134466
99,bridges,28,olm1000.mtx,LSQR,NONE,converged,0.24294200000000002,2647.0,,1,7,4,1,-1,0.24294200000000002,2952262366608134466
100,bridges,28,olm1000.mtx,PSEUDOBLOCK_GMRES,ILUT,converged,0.109759,76.0,1.72335e-07,1,8,0,1,-1,0.109759,2952262366608134466
101,bridges,28,olm1000.mtx,PSEUDOBLOCK_GMRES,RILUK,converged,0.031389,76.0,1.72335e-07,1,8,1,1,-1,0.031389,2952262366608134466
102,bridges,28,olm1000.mtx,PSEUDOBLOCK_GMRES,RELAXATION,converged,4.06264,9595.0,8.948009999999999e-07,1,8,2,1,-1,4.06264,2952262366608134466
103,bridges,28,olm1000.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,4.38344,10000.0,0.5836560000000001,1,8,3,0,-1,inf,2952262366608134466
104,bridges,28,olm1000.mtx,PSEUDOBLOCK_GMRES,NONE,unconverged,3.12832,10000.0,0.45175299999999996,1,8,4,0,-1,inf,2952262366608134466
105,bridges,28,tub1000.mtx,FIXED_POINT,ILUT,unconverged,0.6276689999999999,10000.0,2.16762,1,0,0,0,-1,inf,623749945307268439
106,bridges,28,tub1000.mtx,FIXED_POINT,RILUK,unconverged,0.594442,10000.0,2.16762,1,0,1,0,-1,inf,623749945307268439
107,bridges,28,tub1000.mtx,FIXED_POINT,RELAXATION,unconverged,0.41021199999999997,10000.0,1.0167,1,0,2,0,-1,inf,623749945307268439
108,bridges,28,tub1000.mtx,FIXED_POINT,CHEBYSHEV,error,0.0,,,1,0,3,-1,-1,inf,623749945307268439
109,bridges,28,tub1000.mtx,FIXED_POINT,NONE,error,0.0,,,1,0,4,-1,-1,inf,623749945307268439
110,bridges,28,tub1000.mtx,BICGSTAB,ILUT,converged,0.12948900000000002,397.0,4.61449e-07,1,1,0,1,-1,0.12948900000000002,623749945307268439
111,bridges,28,tub1000.mtx,BICGSTAB,RILUK,converged,0.10069600000000001,314.0,9.146389999999999e-07,1,1,1,1,-1,0.10069600000000001,623749945307268439
112,bridges,28,tub1000.mtx,BICGSTAB,RELAXATION,converged,0.323457,1197.0,8.694070000000001e-07,1,1,2,1,-1,0.323457,623749945307268439
113,bridges,28,tub1000.mtx,BICGSTAB,CHEBYSHEV,converged,0.284373,1049.0,8.77176e-07,1,1,3,1,-1,0.284373,623749945307268439
114,bridges,28,tub1000.mtx,BICGSTAB,NONE,converged,0.337538,1257.0,9.51881e-08,1,1,4,1,-1,0.337538,623749945307268439
115,bridges,28,tub1000.mtx,MINRES,ILUT,unconverged,0.564666,10000.0,0.575814,1,2,0,0,-1,inf,623749945307268439
116,bridges,28,tub1000.mtx,MINRES,RILUK,unconverged,0.571205,10000.0,0.575814,1,2,1,0,-1,inf,623749945307268439
117,bridges,28,tub1000.mtx,MINRES,RELAXATION,unconverged,0.567439,10000.0,0.575814,1,2,2,0,-1,inf,623749945307268439
118,bridges,28,tub1000.mtx,MINRES,CHEBYSHEV,unconverged,0.569102,10000.0,0.575814,1,2,3,0,-1,inf,623749945307268439
119,bridges,28,tub1000.mtx,MINRES,NONE,unconverged,0.571199,10000.0,0.575814,1,2,4,0,-1,inf,623749945307268439
