8,saylr3.mtx, FIXED POINT, ILUT, unconverged,0.788924,10000,0.260768
8,saylr3.mtx, FIXED POINT, RILUK, error,0.00131106,,
8,saylr3.mtx, FIXED POINT, RELAXATION, unconverged,0.564841,10000,0.0634735
8,saylr3.mtx, FIXED POINT, CHEBYSHEV, error,0.0114849,,
8,saylr3.mtx, FIXED POINT, NONE, error,0.0218649,,
8,saylr3.mtx, BICGSTAB, ILUT, error,0.301624,,
8,saylr3.mtx, BICGSTAB, RILUK, error,0.0011189,,
8,saylr3.mtx, BICGSTAB, RELAXATION, error,1.05584,,
8,saylr3.mtx, BICGSTAB, CHEBYSHEV, error,0.00142002,,
8,saylr3.mtx, BICGSTAB, NONE, error,2.26057,,
8,saylr3.mtx, MINRES, ILUT, unconverged,0.661986,10000,0.00522394
8,saylr3.mtx, MINRES, RILUK, unconverged,0.661703,10000,0.00522394
8,saylr3.mtx, MINRES, RELAXATION, unconverged,0.658206,10000,0.00522394
8,saylr3.mtx, MINRES, CHEBYSHEV, unconverged,0.661431,10000,0.00522394
8,saylr3.mtx, MINRES, NONE, unconverged,0.66539,10000,0.00522394
8,saylr3.mtx, PSEUDOBLOCK CG, ILUT, error,0.000596046,,
8,saylr3.mtx, PSEUDOBLOCK CG, RILUK, error,0.000795841,,
8,saylr3.mtx, PSEUDOBLOCK CG, RELAXATION, error,0.00032711,,
8,saylr3.mtx, PSEUDOBLOCK CG, CHEBYSHEV, error,0.00105095,,
8,saylr3.mtx, PSEUDOBLOCK CG, NONE, error,0.000364065,,
8,saylr3.mtx, PSEUDOBLOCK STOCHASTIC CG, ILUT, error,0.00060606,,
8,saylr3.mtx, PSEUDOBLOCK STOCHASTIC CG, RILUK, error,0.000839949,,
8,saylr3.mtx, PSEUDOBLOCK STOCHASTIC CG, RELAXATION, error,0.000342131,,
8,saylr3.mtx, PSEUDOBLOCK STOCHASTIC CG, CHEBYSHEV, error,0.00104308,,
8,saylr3.mtx, PSEUDOBLOCK STOCHASTIC CG, NONE, error,0.000386953,,
8,saylr3.mtx, PSEUDOBLOCK TFQMR, ILUT, error,0.245469,,
8,saylr3.mtx, PSEUDOBLOCK TFQMR, RILUK, error,0.00116897,,
8,saylr3.mtx, PSEUDOBLOCK TFQMR, RELAXATION, error,1.28708,,
8,saylr3.mtx, PSEUDOBLOCK TFQMR, CHEBYSHEV, unconverged,3.46724,10000,128.228
8,saylr3.mtx, PSEUDOBLOCK TFQMR, NONE, unconverged,2.95697,10000,111.293
8,saylr3.mtx, TFQMR, ILUT, error,0.133473,,
8,saylr3.mtx, TFQMR, RILUK, error,0.00101805,,
8,saylr3.mtx, TFQMR, RELAXATION, error,0.629359,,
8,saylr3.mtx, TFQMR, CHEBYSHEV, unconverged,1.71125,10000,132.596
8,saylr3.mtx, TFQMR, NONE, unconverged,1.21874,10000,111.293
8,saylr3.mtx, LSQR, ILUT, converged,0.294938,1100, 
8,saylr3.mtx, LSQR, RILUK, unconverged,1.57894,10000, 
