num_procs,matrix_name,solver,preconditioner,status,time,iterations,final_residual
12,sherman1.mtx,PSEUDOBLOCK_STOCHASTIC_CG,ILUT,error,0.000725985,,
12,sherman1.mtx,PSEUDOBLOCK_STOCHASTIC_CG,RILUK,error,0.000595808,,
12,sherman1.mtx,PSEUDOBLOCK_STOCHASTIC_CG,RELAXATION,error,0.000339985,,
12,sherman1.mtx,PSEUDOBLOCK_STOCHASTIC_CG,CHEBYSHEV,error,0.00113606,,
12,sherman1.mtx,PSEUDOBLOCK_STOCHASTIC_CG,NONE,error,0.000375986,,
12,sherman1.mtx,PSEUDOBLOCK_TFQMR,ILUT,converged,0.0250571,59,4.00E-07
12,sherman1.mtx,PSEUDOBLOCK_TFQMR,RILUK,converged,0.0251489,59,4.00E-07
12,sherman1.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,converged,0.107872,306,8.48E-07
12,sherman1.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.49748,10000,132.682
12,sherman1.mtx,PSEUDOBLOCK_TFQMR,NONE,converged,0.178026,579,7.49E-07
12,sherman1.mtx,TFQMR,ILUT,converged,0.0147741,59,4.00E-07
12,sherman1.mtx,TFQMR,RILUK,converged,0.014888,59,4.00E-07
12,sherman1.mtx,TFQMR,RELAXATION,converged,0.055109,306,8.48E-07
12,sherman1.mtx,TFQMR,CHEBYSHEV,unconverged,1.7925,10000,133.722
12,sherman1.mtx,TFQMR,NONE,converged,0.0765061,579,7.49E-07
12,sherman1.mtx,LSQR,ILUT,converged,0.254338,952,
12,sherman1.mtx,LSQR,RILUK,converged,0.12549,467,
12,sherman1.mtx,LSQR,RELAXATION,converged,0.683329,3224,
12,sherman1.mtx,LSQR,CHEBYSHEV,unconverged,1.26725,10000,
12,sherman1.mtx,LSQR,NONE,converged,1.05483,8933,
12,sherman1.mtx,PSEUDOBLOCK_GMRES,ILUT,converged,0.058692,63,8.22E-07
12,sherman1.mtx,PSEUDOBLOCK_GMRES,RILUK,converged,0.026567,63,8.22E-07
12,sherman1.mtx,PSEUDOBLOCK_GMRES,RELAXATION,converged,0.08125,225,9.45E-07
12,sherman1.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,2.18854,6300,0.843347
12,sherman1.mtx,PSEUDOBLOCK_GMRES,NONE,converged,0.116581,348,9.86E-07
12,olm1000.mtx,FIXED_POINT,ILUT,error,0.146787,,
12,olm1000.mtx,FIXED_POINT,RILUK,error,0.148329,,
12,olm1000.mtx,FIXED_POINT,RELAXATION,error,0.0277369,,
12,olm1000.mtx,FIXED_POINT,CHEBYSHEV,error,0.00908613,,
12,olm1000.mtx,FIXED_POINT,NONE,error,0.00443101,,
12,olm1000.mtx,BICGSTAB,ILUT,converged,0.0228281,58,6.44E-07
12,olm1000.mtx,BICGSTAB,RILUK,converged,0.02687,70,3.16E-07
12,olm1000.mtx,BICGSTAB,RELAXATION,error,0.176412,,
12,olm1000.mtx,BICGSTAB,CHEBYSHEV,error,0.067775,,
12,olm1000.mtx,BICGSTAB,NONE,error,0.186082,,
12,olm1000.mtx,MINRES,ILUT,unconverged,0.697829,10000,0.0751425
12,olm1000.mtx,MINRES,RILUK,unconverged,0.666581,10000,0.0751425
12,olm1000.mtx,MINRES,RELAXATION,unconverged,0.648184,10000,0.0751425
12,olm1000.mtx,MINRES,CHEBYSHEV,unconverged,0.646316,10000,0.0751425
12,olm1000.mtx,MINRES,NONE,unconverged,0.648407,10000,0.0751425
12,olm1000.mtx,PSEUDOBLOCK_CG,ILUT,error,0.00100517,,
12,olm1000.mtx,PSEUDOBLOCK_CG,RILUK,error,0.000555038,,
12,olm1000.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0.000328064,,
12,olm1000.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0.0010221,,
12,olm1000.mtx,PSEUDOBLOCK_CG,NONE,error,0.000370979,,
12,olm1000.mtx,PSEUDOBLOCK_STOCHASTIC_CG,ILUT,error,0.000485897,,
12,olm1000.mtx,PSEUDOBLOCK_STOCHASTIC_CG,RILUK,error,0.000571012,,
12,olm1000.mtx,PSEUDOBLOCK_STOCHASTIC_CG,RELAXATION,error,0.000329971,,
12,olm1000.mtx,PSEUDOBLOCK_STOCHASTIC_CG,CHEBYSHEV,error,0.00103879,,
12,olm1000.mtx,PSEUDOBLOCK_STOCHASTIC_CG,NONE,error,0.000369072,,
12,olm1000.mtx,PSEUDOBLOCK_TFQMR,ILUT,converged,0.0283511,67,7.99E-07
12,olm1000.mtx,PSEUDOBLOCK_TFQMR,RILUK,converged,0.0275352,67,8.43E-07
12,olm1000.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,unconverged,3.35993,10000,141.242
12,olm1000.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.41459,10000,141.363
12,olm1000.mtx,PSEUDOBLOCK_TFQMR,NONE,unconverged,2.92304,10000,140.726
12,olm1000.mtx,TFQMR,ILUT,converged,0.01578,67,7.99E-07
12,olm1000.mtx,TFQMR,RILUK,converged,0.0158992,67,8.43E-07
12,olm1000.mtx,TFQMR,RELAXATION,unconverged,1.63275,10000,141.242
12,olm1000.mtx,TFQMR,CHEBYSHEV,unconverged,1.68258,10000,141.419
12,olm1000.mtx,TFQMR,NONE,unconverged,1.1857,10000,140.726
12,olm1000.mtx,LSQR,ILUT,converged,0.646532,2534,
12,olm1000.mtx,LSQR,RILUK,converged,0.0068059,24,
12,olm1000.mtx,LSQR,RELAXATION,converged,0.45115,2273,
12,olm1000.mtx,LSQR,CHEBYSHEV,converged,0.790655,3845,
12,olm1000.mtx,LSQR,NONE,converged,0.27939,2608,
12,olm1000.mtx,PSEUDOBLOCK_GMRES,ILUT,converged,0.0705478,44,5.01E-07
12,olm1000.mtx,PSEUDOBLOCK_GMRES,RILUK,converged,0.0172989,44,5.01E-07
12,olm1000.mtx,PSEUDOBLOCK_GMRES,RELAXATION,unconverged,2.90648,6300,0.00232286
12,olm1000.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,error,0.00153303,,
12,olm1000.mtx,PSEUDOBLOCK_GMRES,NONE,unconverged,2.0089,6300,0.448238
12,tub1000.mtx,FIXED_POINT,ILUT,unconverged,0.905367,10000,0.901276
12,tub1000.mtx,FIXED_POINT,RILUK,unconverged,0.791745,10000,0.901276
12,tub1000.mtx,FIXED_POINT,RELAXATION,unconverged,0.526485,10000,1.0167
12,tub1000.mtx,FIXED_POINT,CHEBYSHEV,error,0.0114968,,
12,tub1000.mtx,FIXED_POINT,NONE,error,0.00322104,,
12,tub1000.mtx,BICGSTAB,ILUT,converged,0.0467949,128,5.39E-08
12,tub1000.mtx,BICGSTAB,RILUK,converged,0.0758169,211,2.65E-07
12,tub1000.mtx,BICGSTAB,RELAXATION,converged,0.369616,1194,7.55E-07
12,tub1000.mtx,BICGSTAB,CHEBYSHEV,error,0.258329,,
12,tub1000.mtx,BICGSTAB,NONE,converged,0.352483,1172,1.86E-07
12,tub1000.mtx,MINRES,ILUT,unconverged,0.652686,10000,0.575814
12,tub1000.mtx,MINRES,RILUK,unconverged,0.652868,10000,0.575814
12,tub1000.mtx,MINRES,RELAXATION,unconverged,0.658439,10000,0.575814
12,tub1000.mtx,MINRES,CHEBYSHEV,unconverged,0.655793,10000,0.575814
12,tub1000.mtx,MINRES,NONE,unconverged,0.656823,10000,0.575814
12,tub1000.mtx,PSEUDOBLOCK_CG,ILUT,error,0.000478983,,
12,tub1000.mtx,PSEUDOBLOCK_CG,RILUK,error,0.000570059,,
12,tub1000.mtx,PSEUDOBLOCK_CG,RELAXATION,error,0.000319004,,
12,tub1000.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,error,0.00106406,,
12,tub1000.mtx,PSEUDOBLOCK_CG,NONE,error,0.000366926,,
12,tub1000.mtx,PSEUDOBLOCK_STOCHASTIC_CG,ILUT,error,0.000868082,,
12,tub1000.mtx,PSEUDOBLOCK_STOCHASTIC_CG,RILUK,error,0.00058198,,
12,tub1000.mtx,PSEUDOBLOCK_STOCHASTIC_CG,RELAXATION,error,0.000337124,,
12,tub1000.mtx,PSEUDOBLOCK_STOCHASTIC_CG,CHEBYSHEV,error,0.00129604,,
12,tub1000.mtx,PSEUDOBLOCK_STOCHASTIC_CG,NONE,error,0.0003829,,
12,tub1000.mtx,PSEUDOBLOCK_TFQMR,ILUT,converged,0.0528588,125,4.57E-07
12,tub1000.mtx,PSEUDOBLOCK_TFQMR,RILUK,converged,0.0535519,126,6.31E-07
12,tub1000.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,converged,0.977246,2693,9.62E-07
12,tub1000.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,error,2.02327,,
12,tub1000.mtx,PSEUDOBLOCK_TFQMR,NONE,converged,0.819157,2567,9.94E-07
12,tub1000.mtx,TFQMR,ILUT,converged,0.0287731,125,4.57E-07
12,tub1000.mtx,TFQMR,RILUK,converged,0.0291541,126,6.31E-07
12,tub1000.mtx,TFQMR,RELAXATION,converged,0.451474,2693,9.62E-07
12,tub1000.mtx,TFQMR,CHEBYSHEV,unconverged,1.73521,10000,141.425
12,tub1000.mtx,TFQMR,NONE,converged,0.308333,2567,9.94E-07
12,tub1000.mtx,LSQR,ILUT,unconverged,1.65369,10000,
12,tub1000.mtx,LSQR,RILUK,converged,0.204584,738,
12,tub1000.mtx,LSQR,RELAXATION,unconverged,2.07462,10000,
12,tub1000.mtx,LSQR,CHEBYSHEV,unconverged,2.17682,10000,
12,tub1000.mtx,LSQR,NONE,unconverged,1.07394,10000,
12,tub1000.mtx,PSEUDOBLOCK_GMRES,ILUT,converged,0.0254099,64,3.91E-09
12,tub1000.mtx,PSEUDOBLOCK_GMRES,RILUK,converged,0.024296,64,3.91E-09
12,tub1000.mtx,PSEUDOBLOCK_GMRES,RELAXATION,unconverged,2.22285,6300,0.663629
12,tub1000.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,2.23292,6300,0.663628
12,tub1000.mtx,PSEUDOBLOCK_GMRES,NONE,unconverged,2.07419,6300,0.6666
12,cage8.mtx,FIXED_POINT,ILUT,converged,0.0028758,15,6.43E-07
