1,saylr3.mtx, FIXED POINT, ILUT, unconverged,0.806348,10000,0.260768
1,saylr3.mtx, FIXED POINT, RILUK, error,0.00164509,,
1,saylr3.mtx, FIXED POINT, RELAXATION, unconverged,0.325009,10000,0.0634735
1,saylr3.mtx, FIXED POINT, CHEBYSHEV, error,0.00717592,,
1,saylr3.mtx, FIXED POINT, NONE, error,0.0118561,,
1,saylr3.mtx, BICGSTAB, ILUT, error,0.198511,,
1,saylr3.mtx, BICGSTAB, RILUK, error,0.00145388,,
1,saylr3.mtx, BICGSTAB, RELAXATION, error,1.14313,,
1,saylr3.mtx, BICGSTAB, CHEBYSHEV, error,0.974769,,
1,saylr3.mtx, BICGSTAB, NONE, error,1.64956,,
1,saylr3.mtx, MINRES, ILUT, unconverged,0.420352,10000,0.0113317
1,saylr3.mtx, MINRES, RILUK, unconverged,0.41727,10000,0.0113317
1,saylr3.mtx, MINRES, RELAXATION, unconverged,0.415508,10000,0.0113317
1,saylr3.mtx, MINRES, CHEBYSHEV, unconverged,0.417506,10000,0.0113317
1,saylr3.mtx, MINRES, NONE, unconverged,0.413472,10000,0.0113317
1,saylr3.mtx, PSEUDOBLOCK CG, ILUT, error,0.00120497,,
1,saylr3.mtx, PSEUDOBLOCK CG, RILUK, error,0.00109291,,
1,saylr3.mtx, PSEUDOBLOCK CG, RELAXATION, error,0.000309944,,
1,saylr3.mtx, PSEUDOBLOCK CG, CHEBYSHEV, error,0.000678062,,
1,saylr3.mtx, PSEUDOBLOCK CG, NONE, error,0.000307083,,
1,saylr3.mtx, PSEUDOBLOCK STOCHASTIC CG, ILUT, error,0.00120783,,
1,saylr3.mtx, PSEUDOBLOCK STOCHASTIC CG, RILUK, error,0.00116301,,
1,saylr3.mtx, PSEUDOBLOCK STOCHASTIC CG, RELAXATION, error,0.000351906,,
1,saylr3.mtx, PSEUDOBLOCK STOCHASTIC CG, CHEBYSHEV, error,0.000700951,,
1,saylr3.mtx, PSEUDOBLOCK STOCHASTIC CG, NONE, error,0.000316143,,
