2,sherman1.mtx, PSEUDOBLOCK STOCHASTIC CG, RELAXATION, error,0.000386953,,
2,sherman1.mtx, PSEUDOBLOCK STOCHASTIC CG, CHEBYSHEV, error,0.00113606,,
2,sherman1.mtx, PSEUDOBLOCK STOCHASTIC CG, NONE, error,0.000419855,,
2,sherman1.mtx, PSEUDOBLOCK TFQMR, ILUT, converged,0.0181272,39,4.07E-07
2,sherman1.mtx, PSEUDOBLOCK TFQMR, RILUK, converged,0.018451,39,2.28E-07
2,sherman1.mtx, PSEUDOBLOCK TFQMR, RELAXATION, converged,0.119044,316,3.14E-07
2,sherman1.mtx, PSEUDOBLOCK TFQMR, CHEBYSHEV, converged,0.131782,343,7.15E-07
2,sherman1.mtx, PSEUDOBLOCK TFQMR, NONE, converged,0.195105,604,9.40E-07
2,sherman1.mtx, TFQMR, ILUT, converged,0.010999,39,4.07E-07
2,sherman1.mtx, TFQMR, RILUK, converged,0.0112231,39,2.28E-07
2,sherman1.mtx, TFQMR, RELAXATION, converged,0.059916,316,3.14E-07
2,sherman1.mtx, TFQMR, CHEBYSHEV, unconverged,1.78454,10000,131.817
2,sherman1.mtx, TFQMR, NONE, converged,0.076052,604,9.40E-07
2,sherman1.mtx, LSQR, ILUT, converged,0.292848,997, 
2,sherman1.mtx, LSQR, RILUK, converged,0.0611839,206, 
2,sherman1.mtx, LSQR, RELAXATION, converged,0.698919,3286, 
2,sherman1.mtx, LSQR, CHEBYSHEV, converged,0.726469,3278, 
2,sherman1.mtx, LSQR, NONE, converged,1.09592,9059, 
2,sherman1.mtx, PSEUDOBLOCK GMRES, ILUT, converged,0.0159471,43,6.70E-07
2,sherman1.mtx, PSEUDOBLOCK GMRES, RILUK, converged,0.0154519,43,6.70E-07
2,sherman1.mtx, PSEUDOBLOCK GMRES, RELAXATION, converged,0.0847521,225,9.45E-07
2,sherman1.mtx, PSEUDOBLOCK GMRES, CHEBYSHEV, unconverged,2.67623,6300,0.855271
2,sherman1.mtx, PSEUDOBLOCK GMRES, NONE, converged,0.124883,347,9.48E-07
2,olm1000.mtx, FIXED POINT, ILUT, error,0.058167,,
2,olm1000.mtx, FIXED POINT, RILUK, error,0.0537629,,
2,olm1000.mtx, FIXED POINT, RELAXATION, error,0.0286291,,
2,olm1000.mtx, FIXED POINT, CHEBYSHEV, error,0.00908399,,
2,olm1000.mtx, FIXED POINT, NONE, error,0.00444698,,
2,olm1000.mtx, BICGSTAB, ILUT, converged,0.0128129,34,7.13E-07
2,olm1000.mtx, BICGSTAB, RILUK, converged,0.015451,40,4.80E-07
2,olm1000.mtx, BICGSTAB, RELAXATION, unconverged,2.82053,10000,5.00E+32
2,olm1000.mtx, BICGSTAB, CHEBYSHEV, error,1.26834,,
2,olm1000.mtx, BICGSTAB, NONE, unconverged,2.72807,10000,7.86591
2,olm1000.mtx, MINRES, ILUT, unconverged,0.651974,10000,0.0751425
2,olm1000.mtx, MINRES, RILUK, unconverged,0.659121,10000,0.0751425
2,olm1000.mtx, MINRES, RELAXATION, unconverged,0.657322,10000,0.0751425
2,olm1000.mtx, MINRES, CHEBYSHEV, unconverged,0.655348,10000,0.0751425
2,olm1000.mtx, MINRES, NONE, unconverged,0.658855,10000,0.0751425
2,olm1000.mtx, PSEUDOBLOCK CG, ILUT, error,0.000839949,,
2,olm1000.mtx, PSEUDOBLOCK CG, RILUK, error,0.00109911,,
2,olm1000.mtx, PSEUDOBLOCK CG, RELAXATION, error,0.000329971,,
2,olm1000.mtx, PSEUDOBLOCK CG, CHEBYSHEV, error,0.00109601,,
2,olm1000.mtx, PSEUDOBLOCK CG, NONE, error,0.000362158,,
2,olm1000.mtx, PSEUDOBLOCK STOCHASTIC CG, ILUT, error,0.000848055,,
2,olm1000.mtx, PSEUDOBLOCK STOCHASTIC CG, RILUK, error,0.00111699,,
2,olm1000.mtx, PSEUDOBLOCK STOCHASTIC CG, RELAXATION, error,0.000357866,,
2,olm1000.mtx, PSEUDOBLOCK STOCHASTIC CG, CHEBYSHEV, error,0.00101113,,
2,olm1000.mtx, PSEUDOBLOCK STOCHASTIC CG, NONE, error,0.000371933,,
2,olm1000.mtx, PSEUDOBLOCK TFQMR, ILUT, converged,0.0170071,42,7.39E-08
2,olm1000.mtx, PSEUDOBLOCK TFQMR, RILUK, converged,0.0173709,43,2.68E-07
2,olm1000.mtx, PSEUDOBLOCK TFQMR, RELAXATION, unconverged,3.25655,10000,141.242
2,olm1000.mtx, PSEUDOBLOCK TFQMR, CHEBYSHEV, unconverged,3.37463,10000,141.242
2,olm1000.mtx, PSEUDOBLOCK TFQMR, NONE, unconverged,2.78899,10000,140.727
2,olm1000.mtx, TFQMR, ILUT, converged,0.0100799,42,7.39E-08
2,olm1000.mtx, TFQMR, RILUK, converged,0.010489,43,2.68E-07
2,olm1000.mtx, TFQMR, RELAXATION, unconverged,1.62376,10000,141.242
2,olm1000.mtx, TFQMR, CHEBYSHEV, unconverged,1.68611,10000,141.242
2,olm1000.mtx, TFQMR, NONE, unconverged,1.19451,10000,140.727
2,olm1000.mtx, LSQR, ILUT, unconverged,1.6231,10000, 
2,olm1000.mtx, LSQR, RILUK, converged,0.0227089,75, 
2,olm1000.mtx, LSQR, RELAXATION, converged,0.476018,2274, 
2,olm1000.mtx, LSQR, CHEBYSHEV, converged,0.499481,2273, 
2,olm1000.mtx, LSQR, NONE, converged,0.316527,2680, 
2,olm1000.mtx, PSEUDOBLOCK GMRES, ILUT, converged,0.00880694,23,8.30E-08
2,olm1000.mtx, PSEUDOBLOCK GMRES, RILUK, converged,0.008533,23,8.30E-08
2,olm1000.mtx, PSEUDOBLOCK GMRES, RELAXATION, unconverged,3.66753,6300,0.000105379
2,olm1000.mtx, PSEUDOBLOCK GMRES, CHEBYSHEV, unconverged,3.67797,6300,0.000835515
2,olm1000.mtx, PSEUDOBLOCK GMRES, NONE, unconverged,2.35171,6300,0.448357
2,tub1000.mtx, FIXED POINT, ILUT, error,0.255405,,
2,tub1000.mtx, FIXED POINT, RILUK, error,0.254499,,
2,tub1000.mtx, FIXED POINT, RELAXATION, unconverged,0.602076,10000,1.0167
2,tub1000.mtx, FIXED POINT, CHEBYSHEV, error,0.0123138,,
2,tub1000.mtx, FIXED POINT, NONE, error,0.00356913,,
2,tub1000.mtx, BICGSTAB, ILUT, converged,0.007447,18,6.72E-07
2,tub1000.mtx, BICGSTAB, RILUK, converged,0.00817895,19,5.00E-07
2,tub1000.mtx, BICGSTAB, RELAXATION, converged,0.413894,1379,6.25E-07
2,tub1000.mtx, BICGSTAB, CHEBYSHEV, converged,0.432877,1387,7.66E-07
2,tub1000.mtx, BICGSTAB, NONE, converged,0.361921,1263,8.08E-07
2,tub1000.mtx, MINRES, ILUT, unconverged,0.675655,10000,0.575814
2,tub1000.mtx, MINRES, RILUK, unconverged,0.667292,10000,0.575814
2,tub1000.mtx, MINRES, RELAXATION, unconverged,0.671763,10000,0.575814
2,tub1000.mtx, MINRES, CHEBYSHEV, unconverged,0.667452,10000,0.575814
2,tub1000.mtx, MINRES, NONE, unconverged,0.674056,10000,0.575814
2,tub1000.mtx, PSEUDOBLOCK CG, ILUT, error,0.000837088,,
2,tub1000.mtx, PSEUDOBLOCK CG, RILUK, error,0.001158,,
