mpi_call bytes rank region count total_bytes bytes_per_rank_and_region solver prec
MPI_Allreduce 32 0 33 2 64   
MPI_Allreduce 40 0 33 2 80   
MPI_Allreduce 48 0 33 2 96   
MPI_Allreduce 8 0 33 42 336   
MPI_Waitall 0 0 33 11 0   
MPI_Allreduce 96 0 33 2 192   
MPI_Allreduce 56 0 33 2 112   
MPI_Comm_rank 0 0 33 1 0   
MPI_Allreduce 16 0 33 2 32   
MPI_Allreduce 64 0 33 4 256   
MPI_Allreduce 24 0 33 2 48   
MPI_Allreduce 384 0 34 16 6144 133408 pseudoblock_gmres chebyshev
MPI_Allreduce 224 0 34 8 1792   
MPI_Allreduce 64 0 34 4 256   
MPI_Allreduce 24 0 34 2 48   
MPI_Allreduce 192 0 34 10 1920   
MPI_Allreduce 112 0 34 4 448   
MPI_Allreduce 32 0 34 2 64   
MPI_Allreduce 320 0 34 16 5120   
MPI_Allreduce 160 0 34 8 1280   
MPI_Allreduce 80 0 34 4 320   
MPI_Allreduce 40 0 34 2 80   
MPI_Allreduce 448 0 34 14 6272   
MPI_Allreduce 128 0 34 8 1024   
MPI_Allreduce 48 0 34 2 96   
MPI_Allreduce 8 0 34 285 2280   
MPI_Waitall 0 0 34 74 0   
MPI_Allreduce 256 0 34 16 4096   
MPI_Allreduce 96 0 34 6 576   
MPI_Allreduce 56 0 34 2 112   
MPI_Comm_rank 0 0 34 1 0   
MPI_Allreduce 16 0 34 2 32   
MPI_Recv 8 0 34 1 8   
MPI_Allreduce 384 0 34 16 6144   
MPI_Allreduce 224 0 34 8 1792   
MPI_Send 8 0 34 1 8   
MPI_Allreduce 64 0 34 4 256   
MPI_Allreduce 24 0 34 2 48   
MPI_Allreduce 192 0 34 10 1920   
MPI_Allreduce 112 0 34 4 448   
MPI_Allreduce 32 0 34 2 64   
MPI_Recv 384 0 34 1 384   
MPI_Send 384 0 34 1 384   
MPI_Irecv 24 0 34 74 1776   
MPI_Allreduce 320 0 34 16 5120   
MPI_Allreduce 160 0 34 8 1280   
MPI_Send 24 0 34 74 1776   
MPI_Allreduce 80 0 34 4 320   
MPI_Allreduce 40 0 34 2 80   
MPI_Recv 112 0 34 1 112   
MPI_Allreduce 448 0 34 14 6272   
MPI_Send 112 0 34 1 112   
MPI_Allreduce 128 0 34 8 1024   
MPI_Allreduce 48 0 34 2 96   
MPI_Allreduce 8 0 34 285 2280   
MPI_Waitall 0 0 34 74 0   
MPI_Allreduce 256 0 34 16 4096   
MPI_Allreduce 96 0 34 6 576   
MPI_Allreduce 56 0 34 2 112   
MPI_Comm_rank 0 0 34 1 0   
MPI_Allreduce 16 0 34 2 32   
MPI_Recv 8 0 34 1 8   
MPI_Allreduce 384 0 34 16 6144   
MPI_Allreduce 224 0 34 8 1792   
MPI_Send 8 0 34 1 8   
MPI_Allreduce 64 0 34 4 256   
MPI_Allreduce 24 0 34 2 48   
MPI_Allreduce 192 0 34 10 1920   
MPI_Allreduce 112 0 34 4 448   
MPI_Allreduce 32 0 34 2 64   
MPI_Recv 384 0 34 1 384   
MPI_Send 384 0 34 1 384   
MPI_Allreduce 320 0 34 16 5120   
MPI_Allreduce 160 0 34 8 1280   
MPI_Allreduce 80 0 34 4 320   
MPI_Allreduce 40 0 34 2 80   
MPI_Recv 112 0 34 1 112   
MPI_Allreduce 448 0 34 14 6272   
MPI_Send 112 0 34 1 112   
MPI_Allreduce 128 0 34 8 1024   
MPI_Allreduce 48 0 34 2 96   
MPI_Allreduce 8 0 34 285 2280   
MPI_Waitall 0 0 34 74 0   
MPI_Allreduce 256 0 34 16 4096   
MPI_Allreduce 96 0 34 6 576   
MPI_Allreduce 56 0 34 2 112   
MPI_Comm_rank 0 0 34 1 0   
MPI_Allreduce 16 0 34 2 32   
MPI_Allreduce 384 0 34 16 6144   
MPI_Allreduce 224 0 34 8 1792   
MPI_Allreduce 64 0 34 4 256   
MPI_Allreduce 24 0 34 2 48   
MPI_Allreduce 192 0 34 10 1920   
MPI_Allreduce 112 0 34 4 448   
MPI_Allreduce 32 0 34 2 64   
MPI_Allreduce 320 0 34 16 5120   
MPI_Allreduce 160 0 34 8 1280   
MPI_Allreduce 80 0 34 4 320   
MPI_Allreduce 40 0 34 2 80   
MPI_Allreduce 448 0 34 14 6272   
MPI_Allreduce 128 0 34 8 1024   
MPI_Allreduce 48 0 34 2 96   
MPI_Allreduce 8 0 34 285 2280   
MPI_Waitall 0 0 34 74 0   
MPI_Allreduce 256 0 34 16 4096   
MPI_Allreduce 96 0 34 6 576   
MPI_Allreduce 56 0 34 2 112   
MPI_Comm_rank 0 0 34 1 0   
MPI_Allreduce 16 0 34 2 32   
MPI_Allreduce 128 0 35 8 1024 22320 pseudoblock_gmres none
MPI_Allreduce 48 0 35 2 96   
MPI_Allreduce 8 0 35 90 720   
MPI_Waitall 0 0 35 23 0   
MPI_Allreduce 96 0 35 6 576   
MPI_Allreduce 56 0 35 2 112   
MPI_Comm_rank 0 0 35 1 0   
MPI_Allreduce 16 0 35 2 32   
MPI_Allreduce 64 0 35 4 256   
MPI_Allreduce 24 0 35 2 48   
MPI_Allreduce 192 0 35 2 384   
MPI_Allreduce 112 0 35 4 448   
MPI_Allreduce 32 0 35 2 64   
MPI_Allreduce 160 0 35 4 640   
MPI_Allreduce 80 0 35 4 320   
MPI_Allreduce 40 0 35 2 80   
MPI_Recv 112 0 35 1 112   
MPI_Send 112 0 35 1 112   
MPI_Allreduce 128 0 35 8 1024   
MPI_Allreduce 48 0 35 2 96   
MPI_Allreduce 8 0 35 90 720   
MPI_Waitall 0 0 35 23 0   
MPI_Allreduce 96 0 35 6 576   
MPI_Allreduce 56 0 35 2 112   
MPI_Comm_rank 0 0 35 1 0   
MPI_Allreduce 16 0 35 2 32   
MPI_Recv 8 0 35 1 8   
MPI_Send 8 0 35 1 8   
MPI_Allreduce 64 0 35 4 256   
MPI_Allreduce 24 0 35 2 48   
MPI_Allreduce 192 0 35 2 384   
MPI_Allreduce 112 0 35 4 448   
MPI_Allreduce 32 0 35 2 64   
MPI_Recv 384 0 35 1 384   
MPI_Send 384 0 35 1 384   
MPI_Irecv 24 0 35 23 552   
MPI_Allreduce 160 0 35 4 640   
MPI_Send 24 0 35 23 552   
MPI_Allreduce 80 0 35 4 320   
MPI_Allreduce 40 0 35 2 80   
MPI_Recv 112 0 35 1 112   
MPI_Send 112 0 35 1 112   
MPI_Allreduce 128 0 35 8 1024   
MPI_Allreduce 48 0 35 2 96   
MPI_Allreduce 8 0 35 90 720   
MPI_Waitall 0 0 35 23 0   
MPI_Allreduce 96 0 35 6 576   
MPI_Allreduce 56 0 35 2 112   
MPI_Comm_rank 0 0 35 1 0   
MPI_Allreduce 16 0 35 2 32   
MPI_Recv 8 0 35 1 8   
MPI_Send 8 0 35 1 8   
MPI_Allreduce 64 0 35 4 256   
MPI_Allreduce 24 0 35 2 48   
MPI_Allreduce 192 0 35 2 384   
MPI_Allreduce 112 0 35 4 448   
MPI_Allreduce 32 0 35 2 64   
MPI_Recv 384 0 35 1 384   
MPI_Send 384 0 35 1 384   
MPI_Allreduce 160 0 35 4 640   
MPI_Allreduce 80 0 35 4 320   
MPI_Allreduce 40 0 35 2 80   
MPI_Allreduce 128 0 35 8 1024   
MPI_Allreduce 48 0 35 2 96   
MPI_Allreduce 8 0 35 90 720   
MPI_Waitall 0 0 35 23 0   
MPI_Allreduce 96 0 35 6 576   
MPI_Allreduce 56 0 35 2 112   
MPI_Comm_rank 0 0 35 1 0   
MPI_Allreduce 16 0 35 2 32   
MPI_Allreduce 64 0 35 4 256   
MPI_Allreduce 24 0 35 2 48   
MPI_Allreduce 192 0 35 2 384   
MPI_Allreduce 112 0 35 4 448   
MPI_Allreduce 32 0 35 2 64   
MPI_Allreduce 160 0 35 4 640   
MPI_Allreduce 80 0 35 4 320   
MPI_Allreduce 40 0 35 2 80   
MPI_Recv 16384 1 0 1 16384   
MPI_Send 32768 1 0 1 32768   
MPI_Irecv 48 1 0 1 48   
MPI_Recv 8 1 0 1 8   
MPI_Send 48 1 0 1 48   
MPI_Send 8 1 0 2 16   
MPI_Send 229376 1 0 1 229376   
MPI_Send 114688 1 0 1 114688   
MPI_Irecv 32 1 0 1 32   
MPI_Send 32 1 0 1 32   
MPI_Send 8 1 0 2 16   
MPI_Irecv 24 1 1 7 168   
MPI_Send 24 1 1 7 168   
MPI_Recv 32 1 1 1 32   
MPI_Send 32 1 1 1 32   
MPI_Recv 80 1 1 1 80   
MPI_Send 80 1 1 1 80   
MPI_Recv 8 1 1 1 8   
MPI_Send 8 1 1 1 8   
MPI_Bcast 4 1 1 1 4   
MPI_Send 16 1 1 7 112   
MPI_Irecv 16 1 1 7 112   
MPI_Recv 8 1 2 1 8   
MPI_Send 8 1 2 1 8   
MPI_Irecv 24 1 2 7 168   
MPI_Send 24 1 2 7 168   
MPI_Recv 32 1 2 1 32   
MPI_Send 32 1 2 1 32   
MPI_Recv 80 1 2 1 80   
MPI_Send 80 1 2 1 80   
MPI_Bcast 4 1 2 1 4   
MPI_Irecv 16 1 2 7 112   
MPI_Send 16 1 2 7 112   
MPI_Recv 32 1 3 1 32   
MPI_Send 32 1 3 1 32   
MPI_Recv 80 1 3 1 80   
MPI_Send 80 1 3 1 80   
MPI_Recv 8 1 3 1 8   
MPI_Send 8 1 3 1 8   
MPI_Irecv 24 1 3 33 792   
MPI_Send 24 1 3 33 792   
MPI_Irecv 16 1 3 33 528   
MPI_Send 16 1 3 33 528   
MPI_Irecv 24 1 4 172 4128   
MPI_Send 24 1 4 172 4128   
MPI_Send 16 1 4 172 2752   
MPI_Irecv 16 1 4 172 2752   
MPI_Irecv 24 1 5 163 3912   
MPI_Send 24 1 5 163 3912   
MPI_Irecv 16 1 5 163 2608   
MPI_Send 16 1 5 163 2608   
MPI_Recv 192 1 6 1 192   
MPI_Send 192 1 6 1 192   
MPI_Recv 8 1 6 1 8   
MPI_Send 8 1 6 1 8   
MPI_Recv 64 1 6 1 64   
MPI_Irecv 24 1 6 7 168   
MPI_Send 64 1 6 1 64   
MPI_Send 24 1 6 7 168   
MPI_Bcast 4 1 6 1 4   
MPI_Irecv 16 1 6 7 112   
MPI_Send 16 1 6 7 112   
MPI_Recv 64 1 7 1 64   
MPI_Irecv 24 1 7 7 168   
MPI_Send 64 1 7 1 64   
MPI_Send 24 1 7 7 168   
MPI_Recv 192 1 7 1 192   
MPI_Send 192 1 7 1 192   
MPI_Recv 8 1 7 1 8   
MPI_Send 8 1 7 1 8   
MPI_Bcast 4 1 7 1 4   
MPI_Irecv 16 1 7 7 112   
MPI_Send 16 1 7 7 112   
MPI_Recv 8 1 8 1 8   
MPI_Send 8 1 8 1 8   
MPI_Recv 64 1 8 1 64   
MPI_Irecv 24 1 8 15 360   
MPI_Send 64 1 8 1 64   
MPI_Send 24 1 8 15 360   
MPI_Recv 192 1 8 1 192   
MPI_Send 192 1 8 1 192   
MPI_Irecv 16 1 8 15 240   
MPI_Send 16 1 8 15 240   
MPI_Recv 192 1 9 1 192   
MPI_Send 192 1 9 1 192   
MPI_Recv 8 1 9 1 8   
MPI_Send 8 1 9 1 8   
MPI_Recv 64 1 9 1 64   
MPI_Irecv 24 1 9 25 600   
MPI_Send 64 1 9 1 64   
MPI_Send 24 1 9 25 600   
MPI_Irecv 16 1 9 25 400   
MPI_Send 16 1 9 25 400   
MPI_Recv 64 1 10 1 64   
MPI_Irecv 24 1 10 29 696   
MPI_Send 64 1 10 1 64   
MPI_Send 24 1 10 29 696   
MPI_Recv 192 1 10 1 192   
MPI_Send 192 1 10 1 192   
MPI_Recv 8 1 10 1 8   
MPI_Send 8 1 10 1 8   
MPI_Irecv 16 1 10 29 464   
MPI_Send 16 1 10 29 464   
MPI_Recv 8 1 11 1 8   
MPI_Send 8 1 11 1 8   
MPI_Recv 224 1 11 1 224   
MPI_Recv 64 1 11 1 64   
MPI_Irecv 24 1 11 23 552   
MPI_Send 224 1 11 1 224   
MPI_Send 64 1 11 1 64   
MPI_Send 24 1 11 23 552   
MPI_Bcast 4 1 11 1 4   
MPI_Irecv 16 1 11 23 368   
MPI_Send 16 1 11 23 368   
MPI_Send 64 1 12 1 64   
MPI_Send 24 1 12 23 552   
MPI_Recv 8 1 12 1 8   
MPI_Send 8 1 12 1 8   
MPI_Recv 224 1 12 1 224   
MPI_Recv 64 1 12 1 64   
MPI_Irecv 24 1 12 23 552   
MPI_Send 224 1 12 1 224   
MPI_Bcast 4 1 12 1 4   
MPI_Irecv 16 1 12 23 368   
MPI_Send 16 1 12 23 368   
MPI_Recv 224 1 13 1 224   
MPI_Recv 64 1 13 1 64   
MPI_Irecv 24 1 13 23 552   
MPI_Send 224 1 13 1 224   
MPI_Send 64 1 13 1 64   
MPI_Send 24 1 13 23 552   
MPI_Recv 8 1 13 1 8   
MPI_Send 8 1 13 1 8   
