training_systems	training_numprocs	testing_systems	testing_numprocs	classifier	sampler	split	roc-auc	time
3	1	3	1	LogisticRegression	SMOTE	0	0.482	0.141
3	1	3	1	LogisticRegression	SMOTE	1	0.51	0.151
3	1	3	1	LogisticRegression	SMOTE	2	0.506	0.147
3	1	3	1	LogisticRegression	SMOTE	avg	0.5
3	1	3	1	LogisticRegression	DummySampler	0	0.484	0.039
3	1	3	1	LogisticRegression	DummySampler	1	0.512	0.043
3	1	3	1	LogisticRegression	DummySampler	2	0.509	0.043
3	1	3	1	LogisticRegression	DummySampler	avg	0.502
3	1	3	1	LogisticRegression	SMOTEENN	0	0.482	0.604
3	1	3	1	LogisticRegression	SMOTEENN	1	0.51	0.605
3	1	3	1	LogisticRegression	SMOTEENN	2	0.506	0.565
3	1	3	1	LogisticRegression	SMOTEENN	avg	0.5
3	1	3	1	LogisticRegression	SMOTETomek	0	0.482	0.926
3	1	3	1	LogisticRegression	SMOTETomek	1	0.51	0.984
3	1	3	1	LogisticRegression	SMOTETomek	2	0.506	0.912
3	1	3	1	LogisticRegression	SMOTETomek	avg	0.5
3	1	3	1	LogisticRegression	ADASYN	0	0.482	9.389
3	1	3	1	LogisticRegression	ADASYN	1	0.509	9.011
3	1	3	1	LogisticRegression	ADASYN	2	0.505	9.125
3	1	3	1	LogisticRegression	ADASYN	avg	0.499
3	1	3	1	MLP	RandomOverSampler	0	0.538	0.901
3	1	3	1	MLP	RandomOverSampler	1	0.558	0.898
3	1	3	1	MLP	RandomOverSampler	2	0.498	0.776
3	1	3	1	MLP	RandomOverSampler	avg	0.531
3	1	3	1	MLP	SMOTE	0	0.475	1.427
3	1	3	1	MLP	SMOTE	1	0.463	0.665
3	1	3	1	MLP	SMOTE	2	0.578	0.886
3	1	3	1	MLP	SMOTE	avg	0.505
3	1	3	1	MLP	DummySampler	0	0.472	0.299
3	1	3	1	MLP	DummySampler	1	0.494	0.696
3	1	3	1	MLP	DummySampler	2	0.503	0.474
3	1	3	1	MLP	DummySampler	avg	0.49
3	1	3	1	MLP	SMOTEENN	0	0.501	1.218
3	1	3	1	MLP	SMOTEENN	1	0.564	1.212
3	1	3	1	MLP	SMOTEENN	2	0.628	1.611
3	1	3	1	MLP	SMOTEENN	avg	0.565
3	1	3	1	MLP	SMOTETomek	0	0.597	1.956
3	1	3	1	MLP	SMOTETomek	1	0.512	1.89
3	1	3	1	MLP	SMOTETomek	2	0.523	1.855
3	1	3	1	MLP	SMOTETomek	avg	0.544
3	1	3	1	MLP	ADASYN	0	0.547	9.993
3	1	3	1	MLP	ADASYN	1	0.551	10.122
3	1	3	1	MLP	ADASYN	2	0.502	9.717
3	1	3	1	MLP	ADASYN	avg	0.534
3	1	3	1	AdaBoost	RandomOverSampler	0	0.777	1.394
3	1	3	1	AdaBoost	RandomOverSampler	1	0.787	1.393
3	1	3	1	AdaBoost	RandomOverSampler	2	0.798	1.387
3	1	3	1	AdaBoost	RandomOverSampler	avg	0.787
3	1	3	1	AdaBoost	SMOTE	0	0.756	2.164
3	1	3	1	AdaBoost	SMOTE	1	0.757	2.18
3	1	3	1	AdaBoost	SMOTE	2	0.77	2.167
3	1	3	1	AdaBoost	SMOTE	avg	0.761
3	1	3	1	AdaBoost	DummySampler	0	0.781	0.688
3	1	3	1	AdaBoost	DummySampler	1	0.793	0.689
3	1	3	1	AdaBoost	DummySampler	2	0.803	0.693
3	1	3	1	AdaBoost	DummySampler	avg	0.792
3	1	3	1	AdaBoost	SMOTEENN	0	0.761	2.516
3	1	3	1	AdaBoost	SMOTEENN	1	0.767	2.54
3	1	3	1	AdaBoost	SMOTEENN	2	0.768	2.504
3	1	3	1	AdaBoost	SMOTEENN	avg	0.765
3	1	3	1	AdaBoost	SMOTETomek	0	0.754	2.927
3	1	3	1	AdaBoost	SMOTETomek	1	0.761	2.949
3	1	3	1	AdaBoost	SMOTETomek	2	0.772	2.924
3	1	3	1	AdaBoost	SMOTETomek	avg	0.762
3	1	3	1	AdaBoost	ADASYN	0	0.774	10.637
3	1	3	1	AdaBoost	ADASYN	1	0.79	10.716
3	1	3	1	AdaBoost	ADASYN	2	0.779	10.531
3	1	3	1	AdaBoost	ADASYN	avg	0.781
3	1	3	1	KNN	RandomOverSampler	0	0.898	0.126
3	1	3	1	KNN	RandomOverSampler	1	0.928	0.138
3	1	3	1	KNN	RandomOverSampler	2	0.921	0.136
3	1	3	1	KNN	RandomOverSampler	avg	0.916
3	1	3	1	KNN	SMOTE	0	0.885	0.225
3	1	3	1	KNN	SMOTE	1	0.919	0.234
3	1	3	1	KNN	SMOTE	2	0.925	0.241
3	1	3	1	KNN	SMOTE	avg	0.91
3	1	3	1	KNN	DummySampler	0	0.878	0.07
