training_systems	training_numprocs	testing_systems	testing_numprocs	classifier	sampler	split	roc-auc	time
3	1	3	24	GradientBoosting	RandomOverSampler	0	0.833	3.949
3	1	3	24	GradientBoosting	RandomOverSampler	1	0.845	3.979
3	1	3	24	GradientBoosting	RandomOverSampler	2	0.848	4.007
3	1	3	24	GradientBoosting	RandomOverSampler	avg	0.842
3	1	3	24	GradientBoosting	SMOTE	0	0.831	4.859
3	1	3	24	GradientBoosting	SMOTE	1	0.84	4.867
3	1	3	24	GradientBoosting	SMOTE	2	0.854	4.717
3	1	3	24	GradientBoosting	SMOTE	avg	0.841
3	1	3	24	GradientBoosting	DummySampler	0	0.833	1.566
3	1	3	24	GradientBoosting	DummySampler	1	0.861	1.618
3	1	3	24	GradientBoosting	DummySampler	2	0.844	1.611
3	1	3	24	GradientBoosting	DummySampler	avg	0.846
3	1	3	24	GradientBoosting	SMOTEENN	0	0.843	4.83
3	1	3	24	GradientBoosting	SMOTEENN	1	0.845	4.913
3	1	3	24	GradientBoosting	SMOTEENN	2	0.859	4.94
3	1	3	24	GradientBoosting	SMOTEENN	avg	0.849
3	1	3	24	GradientBoosting	SMOTETomek	0	0.831	5.456
3	1	3	24	GradientBoosting	SMOTETomek	1	0.84	5.551
3	1	3	24	GradientBoosting	SMOTETomek	2	0.854	5.514
3	1	3	24	GradientBoosting	SMOTETomek	avg	0.842
3	1	3	24	GradientBoosting	ADASYN	0	0.833	12.672
3	1	3	24	GradientBoosting	ADASYN	1	0.828	12.537
3	1	3	24	GradientBoosting	ADASYN	2	0.835	12.474
3	1	3	24	GradientBoosting	ADASYN	avg	0.832
3	1	3	24	RandomForest	RandomOverSampler	0	0.812	0.307
3	1	3	24	RandomForest	RandomOverSampler	1	0.839	0.322
3	1	3	24	RandomForest	RandomOverSampler	2	0.838	0.307
3	1	3	24	RandomForest	RandomOverSampler	avg	0.829
3	1	3	24	RandomForest	SMOTE	0	0.806	0.589
3	1	3	24	RandomForest	SMOTE	1	0.833	0.595
3	1	3	24	RandomForest	SMOTE	2	0.808	0.594
3	1	3	24	RandomForest	SMOTE	avg	0.816
3	1	3	24	RandomForest	DummySampler	0	0.802	0.161
3	1	3	24	RandomForest	DummySampler	1	0.841	0.166
3	1	3	24	RandomForest	DummySampler	2	0.824	0.167
3	1	3	24	RandomForest	DummySampler	avg	0.822
3	1	3	24	RandomForest	SMOTEENN	0	0.817	0.966
3	1	3	24	RandomForest	SMOTEENN	1	0.836	1.044
3	1	3	24	RandomForest	SMOTEENN	2	0.82	0.998
3	1	3	24	RandomForest	SMOTEENN	avg	0.824
3	1	3	24	RandomForest	SMOTETomek	0	0.804	1.339
3	1	3	24	RandomForest	SMOTETomek	1	0.834	1.436
3	1	3	24	RandomForest	SMOTETomek	2	0.799	1.321
3	1	3	24	RandomForest	SMOTETomek	avg	0.812
3	1	3	24	RandomForest	ADASYN	0	0.811	9.298
3	1	3	24	RandomForest	ADASYN	1	0.837	9.131
3	1	3	24	RandomForest	ADASYN	2	0.834	9.341
3	1	3	24	RandomForest	ADASYN	avg	0.827
3	1	3	24	GaussianNB	RandomOverSampler	0	0.497	0.028
3	1	3	24	GaussianNB	RandomOverSampler	1	0.501	0.039
3	1	3	24	GaussianNB	RandomOverSampler	2	0.501	0.038
3	1	3	24	GaussianNB	RandomOverSampler	avg	0.499
3	1	3	24	GaussianNB	SMOTE	0	0.486	0.122
3	1	3	24	GaussianNB	SMOTE	1	0.504	0.123
3	1	3	24	GaussianNB	SMOTE	2	0.498	0.123
3	1	3	24	GaussianNB	SMOTE	avg	0.496
3	1	3	24	GaussianNB	DummySampler	0	0.497	0.009
3	1	3	24	GaussianNB	DummySampler	1	0.503	0.009
3	1	3	24	GaussianNB	DummySampler	2	0.503	0.013
3	1	3	24	GaussianNB	DummySampler	avg	0.501
3	1	3	24	GaussianNB	SMOTEENN	0	0.487	0.595
3	1	3	24	GaussianNB	SMOTEENN	1	0.504	0.597
3	1	3	24	GaussianNB	SMOTEENN	2	0.498	0.549
3	1	3	24	GaussianNB	SMOTEENN	avg	0.496
3	1	3	24	GaussianNB	SMOTETomek	0	0.487	0.937
3	1	3	24	GaussianNB	SMOTETomek	1	0.502	0.933
3	1	3	24	GaussianNB	SMOTETomek	2	0.498	0.877
3	1	3	24	GaussianNB	SMOTETomek	avg	0.495
3	1	3	24	GaussianNB	ADASYN	0	0.497	8.977
3	1	3	24	GaussianNB	ADASYN	1	0.498	8.89
3	1	3	24	GaussianNB	ADASYN	2	0.501	8.769
3	1	3	24	GaussianNB	ADASYN	avg	0.498
3	1	3	24	DecisionTree	RandomOverSampler	0	0.755	0.157
3	1	3	24	DecisionTree	RandomOverSampler	1	0.793	0.16
3	1	3	24	DecisionTree	RandomOverSampler	2	0.789	0.161
3	1	3	24	DecisionTree	RandomOverSampler	avg	0.779
3	1	3	24	DecisionTree	SMOTE	0	0.771	0.344
3	1	3	24	DecisionTree	SMOTE	1	0.805	0.394
3	1	3	24	DecisionTree	SMOTE	2	0.796	0.366
3	1	3	24	DecisionTree	SMOTE	avg	0.791
3	1	3	24	DecisionTree	DummySampler	0	0.781	0.067
3	1	3	24	DecisionTree	DummySampler	1	0.792	0.069
3	1	3	24	DecisionTree	DummySampler	2	0.743	0.069
3	1	3	24	DecisionTree	DummySampler	avg	0.772
3	1	3	24	DecisionTree	SMOTEENN	0	0.741	0.82
3	1	3	24	DecisionTree	SMOTEENN	1	0.743	0.884
