training_systems	training_numprocs	testing_systems	testing_numprocs	classifier	sampler	split	roc-auc	time
3	12	3	24	GradientBoosting	RandomOverSampler	0	0.872	5.818
3	12	3	24	GradientBoosting	RandomOverSampler	1	0.87	5.797
3	12	3	24	GradientBoosting	RandomOverSampler	2	0.894	5.81
3	12	3	24	GradientBoosting	RandomOverSampler	avg	0.878
3	12	3	24	GradientBoosting	SMOTE	0	0.88	7.037
3	12	3	24	GradientBoosting	SMOTE	1	0.87	7.278
3	12	3	24	GradientBoosting	SMOTE	2	0.898	7.138
3	12	3	24	GradientBoosting	SMOTE	avg	0.882
3	12	3	24	GradientBoosting	DummySampler	0	0.865	2.248
3	12	3	24	GradientBoosting	DummySampler	1	0.861	2.225
3	12	3	24	GradientBoosting	DummySampler	2	0.882	2.222
3	12	3	24	GradientBoosting	DummySampler	avg	0.869
3	12	3	24	GradientBoosting	SMOTEENN	0	0.878	7.518
3	12	3	24	GradientBoosting	SMOTEENN	1	0.872	7.545
3	12	3	24	GradientBoosting	SMOTEENN	2	0.902	7.578
3	12	3	24	GradientBoosting	SMOTEENN	avg	0.884
3	12	3	24	GradientBoosting	SMOTETomek	0	0.878	8.63
3	12	3	24	GradientBoosting	SMOTETomek	1	0.868	8.306
3	12	3	24	GradientBoosting	SMOTETomek	2	0.903	8.483
3	12	3	24	GradientBoosting	SMOTETomek	avg	0.883
3	12	3	24	GradientBoosting	ADASYN	0	0.887	22.507
3	12	3	24	GradientBoosting	ADASYN	1	0.869	22.302
3	12	3	24	GradientBoosting	ADASYN	2	0.89	22.341
3	12	3	24	GradientBoosting	ADASYN	avg	0.882
3	12	3	24	RandomForest	RandomOverSampler	0	0.934	0.437
3	12	3	24	RandomForest	RandomOverSampler	1	0.909	0.458
3	12	3	24	RandomForest	RandomOverSampler	2	0.929	0.451
3	12	3	24	RandomForest	RandomOverSampler	avg	0.924
3	12	3	24	RandomForest	SMOTE	0	0.936	0.888
3	12	3	24	RandomForest	SMOTE	1	0.916	0.901
3	12	3	24	RandomForest	SMOTE	2	0.927	0.869
3	12	3	24	RandomForest	SMOTE	avg	0.926
3	12	3	24	RandomForest	DummySampler	0	0.939	0.221
3	12	3	24	RandomForest	DummySampler	1	0.903	0.227
3	12	3	24	RandomForest	DummySampler	2	0.919	0.226
3	12	3	24	RandomForest	DummySampler	avg	0.921
3	12	3	24	RandomForest	SMOTEENN	0	0.941	1.526
3	12	3	24	RandomForest	SMOTEENN	1	0.912	1.473
3	12	3	24	RandomForest	SMOTEENN	2	0.918	1.529
3	12	3	24	RandomForest	SMOTEENN	avg	0.923
3	12	3	24	RandomForest	SMOTETomek	0	0.938	2.124
3	12	3	24	RandomForest	SMOTETomek	1	0.923	2.07
3	12	3	24	RandomForest	SMOTETomek	2	0.92	2.073
3	12	3	24	RandomForest	SMOTETomek	avg	0.927
3	12	3	24	RandomForest	ADASYN	0	0.935	17.492
3	12	3	24	RandomForest	ADASYN	1	0.919	17.406
3	12	3	24	RandomForest	ADASYN	2	0.925	17.195
3	12	3	24	RandomForest	ADASYN	avg	0.926
3	12	3	24	GaussianNB	RandomOverSampler	0	0.498	0.038
3	12	3	24	GaussianNB	RandomOverSampler	1	0.503	0.039
3	12	3	24	GaussianNB	RandomOverSampler	2	0.501	0.042
3	12	3	24	GaussianNB	RandomOverSampler	avg	0.501
3	12	3	24	GaussianNB	SMOTE	0	0.5	0.173
3	12	3	24	GaussianNB	SMOTE	1	0.501	0.172
3	12	3	24	GaussianNB	SMOTE	2	0.501	0.168
3	12	3	24	GaussianNB	SMOTE	avg	0.5
3	12	3	24	GaussianNB	DummySampler	0	0.495	0.011
3	12	3	24	GaussianNB	DummySampler	1	0.505	0.011
3	12	3	24	GaussianNB	DummySampler	2	0.502	0.014
3	12	3	24	GaussianNB	DummySampler	avg	0.501
3	12	3	24	GaussianNB	SMOTEENN	0	0.496	0.85
3	12	3	24	GaussianNB	SMOTEENN	1	0.501	0.815
3	12	3	24	GaussianNB	SMOTEENN	2	0.501	0.865
3	12	3	24	GaussianNB	SMOTEENN	avg	0.499
3	12	3	24	GaussianNB	SMOTETomek	0	0.498	1.367
3	12	3	24	GaussianNB	SMOTETomek	1	0.5	1.307
3	12	3	24	GaussianNB	SMOTETomek	2	0.501	1.354
3	12	3	24	GaussianNB	SMOTETomek	avg	0.499
3	12	3	24	GaussianNB	ADASYN	0	0.499	16.979
3	12	3	24	GaussianNB	ADASYN	1	0.502	16.829
3	12	3	24	GaussianNB	ADASYN	2	0.503	16.785
