,np,matrix,matrix_id,solver_id,prec_id,status_id,new_time,good_or_bad
0,12,saylr3.mtx,5054133946684947129,0,0,0,inf,-1
1,12,saylr3.mtx,5054133946684947129,0,1,-1,inf,-1
2,12,saylr3.mtx,5054133946684947129,0,2,0,inf,-1
3,12,saylr3.mtx,5054133946684947129,0,3,-1,inf,-1
4,12,saylr3.mtx,5054133946684947129,0,4,-1,inf,-1
5,12,saylr3.mtx,5054133946684947129,1,0,-1,inf,-1
6,12,saylr3.mtx,5054133946684947129,1,1,-1,inf,-1
7,12,saylr3.mtx,5054133946684947129,1,2,-1,inf,-1
8,12,saylr3.mtx,5054133946684947129,1,3,-1,inf,-1
9,12,saylr3.mtx,5054133946684947129,1,4,-1,inf,-1
10,12,saylr3.mtx,5054133946684947129,2,0,0,inf,-1
11,12,saylr3.mtx,5054133946684947129,2,1,0,inf,-1
12,12,saylr3.mtx,5054133946684947129,2,2,0,inf,-1
13,12,saylr3.mtx,5054133946684947129,2,3,0,inf,-1
14,12,saylr3.mtx,5054133946684947129,2,4,0,inf,-1
15,12,saylr3.mtx,5054133946684947129,3,0,-1,inf,-1
16,12,saylr3.mtx,5054133946684947129,3,1,-1,inf,-1
17,12,saylr3.mtx,5054133946684947129,3,2,-1,inf,-1
18,12,saylr3.mtx,5054133946684947129,3,3,-1,inf,-1
19,12,saylr3.mtx,5054133946684947129,3,4,-1,inf,-1
20,12,saylr3.mtx,5054133946684947129,4,0,-1,inf,-1
21,12,saylr3.mtx,5054133946684947129,4,1,-1,inf,-1
22,12,saylr3.mtx,5054133946684947129,4,2,-1,inf,-1
23,12,saylr3.mtx,5054133946684947129,4,3,-1,inf,-1
24,12,saylr3.mtx,5054133946684947129,4,4,-1,inf,-1
25,12,saylr3.mtx,5054133946684947129,5,0,-1,inf,-1
26,12,saylr3.mtx,5054133946684947129,5,1,-1,inf,-1
27,12,saylr3.mtx,5054133946684947129,5,2,0,inf,-1
28,12,saylr3.mtx,5054133946684947129,5,3,0,inf,-1
29,12,saylr3.mtx,5054133946684947129,5,4,0,inf,-1
30,12,saylr3.mtx,5054133946684947129,6,0,-1,inf,-1
31,12,saylr3.mtx,5054133946684947129,6,1,-1,inf,-1
32,12,saylr3.mtx,5054133946684947129,6,2,0,inf,-1
33,12,saylr3.mtx,5054133946684947129,6,3,0,inf,-1
34,12,saylr3.mtx,5054133946684947129,6,4,0,inf,-1
35,12,saylr3.mtx,5054133946684947129,7,0,1,0.26009899999999997,1
36,12,saylr3.mtx,5054133946684947129,7,1,0,inf,-1
37,12,saylr3.mtx,5054133946684947129,7,2,1,0.754696,-1
38,12,saylr3.mtx,5054133946684947129,7,3,1,0.7798149999999999,-1
39,12,saylr3.mtx,5054133946684947129,7,4,0,inf,-1
40,12,saylr3.mtx,5054133946684947129,8,0,0,inf,-1
41,12,saylr3.mtx,5054133946684947129,8,1,-1,inf,-1
42,12,saylr3.mtx,5054133946684947129,8,2,0,inf,-1
43,12,saylr3.mtx,5054133946684947129,8,3,0,inf,-1
