,np,matrix,matrix_id,solver_id,prec_id,status_id,new_time,good_or_bad
0,4,saylr3.mtx,5054133946684947129,0,0,0,inf,-1
1,4,saylr3.mtx,5054133946684947129,0,1,-1,inf,-1
2,4,saylr3.mtx,5054133946684947129,0,2,0,inf,-1
3,4,saylr3.mtx,5054133946684947129,0,3,-1,inf,-1
4,4,saylr3.mtx,5054133946684947129,0,4,-1,inf,-1
5,4,saylr3.mtx,5054133946684947129,1,0,-1,inf,-1
6,4,saylr3.mtx,5054133946684947129,1,1,-1,inf,-1
7,4,saylr3.mtx,5054133946684947129,1,2,-1,inf,-1
8,4,saylr3.mtx,5054133946684947129,1,3,-1,inf,-1
9,4,saylr3.mtx,5054133946684947129,1,4,-1,inf,-1
10,4,saylr3.mtx,5054133946684947129,2,0,0,inf,-1
11,4,saylr3.mtx,5054133946684947129,2,1,0,inf,-1
12,4,saylr3.mtx,5054133946684947129,2,2,0,inf,-1
13,4,saylr3.mtx,5054133946684947129,2,3,0,inf,-1
14,4,saylr3.mtx,5054133946684947129,2,4,0,inf,-1
15,4,saylr3.mtx,5054133946684947129,3,0,-1,inf,-1
16,4,saylr3.mtx,5054133946684947129,3,1,-1,inf,-1
17,4,saylr3.mtx,5054133946684947129,3,2,-1,inf,-1
18,4,saylr3.mtx,5054133946684947129,3,3,-1,inf,-1
19,4,saylr3.mtx,5054133946684947129,3,4,-1,inf,-1
20,4,saylr3.mtx,5054133946684947129,4,0,-1,inf,-1
21,4,saylr3.mtx,5054133946684947129,4,1,-1,inf,-1
22,4,saylr3.mtx,5054133946684947129,4,2,-1,inf,-1
23,4,saylr3.mtx,5054133946684947129,4,3,-1,inf,-1
24,4,saylr3.mtx,5054133946684947129,4,4,-1,inf,-1
25,4,saylr3.mtx,5054133946684947129,5,0,-1,inf,-1
26,4,saylr3.mtx,5054133946684947129,5,1,-1,inf,-1
27,4,saylr3.mtx,5054133946684947129,5,2,-1,inf,-1
28,4,saylr3.mtx,5054133946684947129,5,3,0,inf,-1
29,4,saylr3.mtx,5054133946684947129,5,4,-1,inf,-1
30,4,saylr3.mtx,5054133946684947129,6,0,-1,inf,-1
31,4,saylr3.mtx,5054133946684947129,6,1,-1,inf,-1
32,4,saylr3.mtx,5054133946684947129,6,2,-1,inf,-1
33,4,saylr3.mtx,5054133946684947129,6,3,0,inf,-1
34,4,saylr3.mtx,5054133946684947129,6,4,-1,inf,-1
35,4,saylr3.mtx,5054133946684947129,7,0,1,0.26722399999999996,1
36,4,saylr3.mtx,5054133946684947129,7,1,0,inf,-1
37,4,saylr3.mtx,5054133946684947129,7,2,1,0.750341,-1
38,4,saylr3.mtx,5054133946684947129,7,3,1,0.774762,-1
39,4,saylr3.mtx,5054133946684947129,7,4,0,inf,-1
40,4,saylr3.mtx,5054133946684947129,8,0,0,inf,-1
41,4,saylr3.mtx,5054133946684947129,8,1,-1,inf,-1
42,4,saylr3.mtx,5054133946684947129,8,2,0,inf,-1
43,4,saylr3.mtx,5054133946684947129,8,3,0,inf,-1
44,4,saylr3.mtx,5054133946684947129,8,4,0,inf,-1
45,4,sherman1.mtx,-1946102749737017214,0,0,1,0.0471489,-1
46,4,sherman1.mtx,-1946102749737017214,0,1,1,0.047668,-1
47,4,sherman1.mtx,-1946102749737017214,0,2,0,inf,-1
48,4,sherman1.mtx,-1946102749737017214,0,3,-1,inf,-1
49,4,sherman1.mtx,-1946102749737017214,0,4,-1,inf,-1
50,4,sherman1.mtx,-1946102749737017214,1,0,1,0.011009,-1
51,4,sherman1.mtx,-1946102749737017214,1,1,1,0.0111582,-1
52,4,sherman1.mtx,-1946102749737017214,1,2,1,0.0616639,-1
53,4,sherman1.mtx,-1946102749737017214,1,3,1,0.06417300000000001,-1
54,4,sherman1.mtx,-1946102749737017214,1,4,1,0.0992432,-1
55,4,sherman1.mtx,-1946102749737017214,2,0,1,0.0315249,-1
56,4,sherman1.mtx,-1946102749737017214,2,1,1,0.0315249,-1
57,4,sherman1.mtx,-1946102749737017214,2,2,1,0.030507099999999995,-1
58,4,sherman1.mtx,-1946102749737017214,2,3,1,0.031201099999999996,-1
59,4,sherman1.mtx,-1946102749737017214,2,4,1,0.03071,-1
60,4,sherman1.mtx,-1946102749737017214,3,0,-1,inf,-1
61,4,sherman1.mtx,-1946102749737017214,3,1,-1,inf,-1
62,4,sherman1.mtx,-1946102749737017214,3,2,-1,inf,-1
63,4,sherman1.mtx,-1946102749737017214,3,3,-1,inf,-1
64,4,sherman1.mtx,-1946102749737017214,3,4,-1,inf,-1
65,4,sherman1.mtx,-1946102749737017214,4,0,-1,inf,-1
66,4,sherman1.mtx,-1946102749737017214,4,1,-1,inf,-1
67,4,sherman1.mtx,-1946102749737017214,4,2,-1,inf,-1
68,4,sherman1.mtx,-1946102749737017214,4,3,-1,inf,-1
69,4,sherman1.mtx,-1946102749737017214,4,4,-1,inf,-1
70,4,sherman1.mtx,-1946102749737017214,5,0,1,0.016386,-1
71,4,sherman1.mtx,-1946102749737017214,5,1,1,0.016474000000000003,-1
72,4,sherman1.mtx,-1946102749737017214,5,2,1,0.114097,-1
73,4,sherman1.mtx,-1946102749737017214,5,3,0,inf,-1
74,4,sherman1.mtx,-1946102749737017214,5,4,1,0.159675,-1
75,4,sherman1.mtx,-1946102749737017214,6,0,1,0.00839305,1
76,4,sherman1.mtx,-1946102749737017214,6,1,1,0.00856209,1
77,4,sherman1.mtx,-1946102749737017214,6,2,1,0.049895,-1
78,4,sherman1.mtx,-1946102749737017214,6,3,1,0.052488099999999996,-1
79,4,sherman1.mtx,-1946102749737017214,6,4,1,0.068435,-1
80,4,sherman1.mtx,-1946102749737017214,7,0,1,0.259052,-1
81,4,sherman1.mtx,-1946102749737017214,7,1,1,0.06920499999999999,-1
82,4,sherman1.mtx,-1946102749737017214,7,2,1,0.657259,-1
83,4,sherman1.mtx,-1946102749737017214,7,3,1,0.66911,-1
84,4,sherman1.mtx,-1946102749737017214,7,4,1,1.00978,-1
85,4,sherman1.mtx,-1946102749737017214,8,0,1,0.015531999999999999,-1
86,4,sherman1.mtx,-1946102749737017214,8,1,1,0.0150101,-1
87,4,sherman1.mtx,-1946102749737017214,8,2,1,0.0746839,-1
88,4,sherman1.mtx,-1946102749737017214,8,3,0,inf,-1
89,4,sherman1.mtx,-1946102749737017214,8,4,1,0.11399200000000001,-1
90,4,olm1000.mtx,2952262366608134466,0,0,-1,inf,-1
91,4,olm1000.mtx,2952262366608134466,0,1,-1,inf,-1
92,4,olm1000.mtx,2952262366608134466,0,2,-1,inf,-1
93,4,olm1000.mtx,2952262366608134466,0,3,-1,inf,-1
94,4,olm1000.mtx,2952262366608134466,0,4,-1,inf,-1
95,4,olm1000.mtx,2952262366608134466,1,0,1,0.020581,-1
96,4,olm1000.mtx,2952262366608134466,1,1,1,0.0209491,-1
97,4,olm1000.mtx,2952262366608134466,1,2,-1,inf,-1
98,4,olm1000.mtx,2952262366608134466,1,3,-1,inf,-1
99,4,olm1000.mtx,2952262366608134466,1,4,-1,inf,-1
100,4,olm1000.mtx,2952262366608134466,2,0,0,inf,-1
101,4,olm1000.mtx,2952262366608134466,2,1,0,inf,-1
102,4,olm1000.mtx,2952262366608134466,2,2,0,inf,-1
103,4,olm1000.mtx,2952262366608134466,2,3,0,inf,-1
104,4,olm1000.mtx,2952262366608134466,2,4,0,inf,-1
105,4,olm1000.mtx,2952262366608134466,3,0,-1,inf,-1
106,4,olm1000.mtx,2952262366608134466,3,1,-1,inf,-1
107,4,olm1000.mtx,2952262366608134466,3,2,-1,inf,-1
108,4,olm1000.mtx,2952262366608134466,3,3,-1,inf,-1
109,4,olm1000.mtx,2952262366608134466,3,4,-1,inf,-1
110,4,olm1000.mtx,2952262366608134466,4,0,-1,inf,-1
111,4,olm1000.mtx,2952262366608134466,4,1,-1,inf,-1
