,rows,cols,min_nnz_row,row_var,col_var,diag_var,nnz,frob_norm,symm_frob_norm,antisymm_frob_norm,one_norm,inf_norm,symm_inf_norm,antisymm_inf_norm,max_nnz_row,trace,abs_trace,min_nnz_row,avg_nnz_row,dummy_rows,dummy_rows_kind,num_value_symm_1,nnz_pattern_symm_1,num_value_symm_2,nnz_pattern_symm_2,row_diag_dom,col_diag_dom,diag_avg,diag_sign,diag_nnz,lower_bw,upper_bw,row_log_val_spread,col_log_val_spread,symm,matrix,matrix_id
0,40000,40000,1,0.4900749921798706,0.2454880028963089,0.3422900140285492,793600,2921.0400390625,2156.570068359375,1970.199951171875,106.0,199,100.50299835205078,99.49749755859375,9,155249.0,155249.0,1,7,0,0,0,0,0.8967679738998413,0.7935360074043274,0,0,3.8812100887298584,2,40000,402,402,13.617500305175781,14.201199531555176,0,ex19_s-100_l-0.0001_p-1_g-1_0.petsc,-684653382944260844
1,40000,40000,1,0.4900749921798706,0.2454880028963089,0.3423199951648712,793600,2921.06005859375,2156.590087890625,1970.2099609375,106.0,199,100.50299835205078,99.49749755859375,9,155254.0,155254.0,1,7,0,0,0,0,0.8958709836006165,0.7917420268058777,0,0,3.8813400268554688,2,40000,402,402,12.684300422668457,12.986200332641602,0,ex19_s-100_l-0.0001_p-1_g-10_0.petsc,-1042783576061794366
2,40000,40000,1,0.4900749921798706,0.2454880028963089,0.3426220118999481,793600,2921.97998046875,2157.27001953125,1970.8199462890625,106.00199890136719,199,100.50299835205078,99.49749755859375,9,155304.0,155304.0,1,7,0,0,0,0,0.8871219754219055,0.7742440104484558,0,0,3.8826000690460205,2,40000,402,402,12.89490032196045,13.140199661254883,0,ex19_s-100_l-0.0001_p-1_g-100_0.petsc,331907595004425751
3,40000,40000,1,0.4900749921798706,0.2454880028963089,0.34262099862098694,793600,2921.97998046875,2157.27001953125,1970.8199462890625,106.00199890136719,199,100.50299835205078,99.49749755859375,9,155304.0,155304.0,1,7,0,0,0,0,0.8871219754219055,0.774245023727417,0,0,3.8826000690460205,2,40000,402,402,13.256400108337402,13.666000366210938,0,ex19_s-100_l-0.0001_p-1_g-100_1.petsc,3326695255197172871
4,40000,40000,1,0.4900749921798706,0.2454880028963089,0.34594300389289856,793600,3004.679931640625,2213.919921875,2031.4200439453125,106.01599884033203,199,100.50299835205078,99.49759674072266,9,155811.0,155811.0,1,7,0,0,0,0,0.8171539902687073,0.6343070268630981,0,0,3.895289897918701,2,40000,402,402,16.406099319458008,17.799699783325195,0,ex19_s-100_l-0.0001_p-1_g-1000_0.petsc,-2900982771036607969
5,40000,40000,1,0.4900749921798706,0.2454880028963089,0.345645010471344,793600,3004.610107421875,2213.820068359375,2031.4200439453125,106.01499938964844,199,100.50299835205078,99.49759674072266,9,155769.0,155769.0,1,7,0,0,0,0,0.8171730041503906,0.6343460083007812,0,0,3.8942298889160156,2,40000,402,402,17.294099807739258,18.687599182128906,0,ex19_s-100_l-0.0001_p-1_g-1000_1.petsc,4319023609419144227
6,40000,40000,1,0.4900749921798706,0.2454880028963089,0.35174399614334106,793600,7585.5400390625,5400.10986328125,5327.22021484375,109.29900360107422,199,100.50299835205078,99.49800109863281,9,156521.0,156521.0,1,7,0,0,0,0,0.6135240197181702,0.22704899311065674,0,0,3.913019895553589,2,40000,402,402,16.603099822998047,17.996700286865234,0,ex19_s-100_l-0.0001_p-1_g-10000_0.petsc,6008815553951804429
7,40000,40000,1,0.4900749921798706,0.2454890012741089,0.3614009916782379,793600,7586.2900390625,5401.14013671875,5327.240234375,109.4530029296875,199,100.50299835205078,99.49839782714844,9,157589.0,157589.0,1,7,0,0,0,0,0.6136800050735474,0.22735999524593353,0,0,3.939729928970337,2,40000,402,402,16.168399810791016,17.561899185180664,0,ex19_s-100_l-0.0001_p-1_g-10000_1.petsc,-4536382039552072927
8,4000000,4000000,1,0.49900099635124207,0.24950499832630157,0.035823699086904526,79936000,89753.703125,63778.6015625,63150.80078125,1006.0,1999,1000.5,999.5,9,16000000.0,16000000.0,1,7,0,0,0,0,0.898688018321991,0.7973769903182983,0,0,3.988149881362915,2,4000000,4002,4002,17.17060089111328,18.698400497436523,0,ex19_s-1000_l-1e-06_p-1_g-100_0.petsc,6509520821196242264
9,4000000,4000000,1,0.49900099635124207,0.24950499832630157,0.035823699086904526,79936000,89753.703125,63778.6015625,63150.80078125,1006.0,1999,1000.5,999.5,9,16000000.0,16000000.0,1,7,0,0,0,0,0.898688018321991,0.7973769903182983,0,0,3.988149881362915,2,4000000,4002,4002,17.988000869750977,17.988000869750977,0,ex19_s-1000_l-1e-06_p-1_g-100_1.petsc,3687588164247806822
10,4000000,4000000,1,0.49900099635124207,0.24950499832630157,0.03585699945688248,79936000,89756.796875,63781.0,63152.69921875,1006.0,1999,1000.5,999.5,9,16000000.0,16000000.0,1,7,0,0,0,0,0.8899000287055969,0.7797989845275879,0,0,3.989419937133789,2,4000000,4002,4002,17.134599685668945,19.090700149536133,0,ex19_s-1000_l-1e-06_p-1_g-1000_0.petsc,-613859322247297262
11,4000000,4000000,1,0.49900099635124207,0.24950499832630157,0.035890400409698486,79936000,90031.796875,63974.6015625,63348.0,1006.0,1999,1000.5,999.5,9,16000000.0,16000000.0,1,7,0,0,0,0,0.8197140097618103,0.639428973197937,0,0,3.9904799461364746,2,4000000,4002,4002,15.90820026397705,16.298500061035156,0,ex19_s-1000_l-1e-06_p-1_g-10000_0.petsc,-1548462619838877379
