classifier,sampler,np_a,np_b,fold,AUC,time
RandomForest,RandomOverSampler,1,[2 4 6 8 10 12],avg,0.839
AdaBoost,DummySampler,1,[2 4 6 8 10 12],0,0.829,2.166
AdaBoost,DummySampler,1,[2 4 6 8 10 12],1,0.843,2.139
AdaBoost,DummySampler,1,[2 4 6 8 10 12],2,0.864,2.125
AdaBoost,DummySampler,1,[2 4 6 8 10 12],avg,0.845
AdaBoost,SMOTE,1,[2 4 6 8 10 12],0,0.836,6.611
AdaBoost,SMOTE,1,[2 4 6 8 10 12],1,0.825,7.168
AdaBoost,SMOTE,1,[2 4 6 8 10 12],2,0.807,6.419
AdaBoost,SMOTE,1,[2 4 6 8 10 12],avg,0.823
AdaBoost,SMOTEENN,1,[2 4 6 8 10 12],0,0.828,7.985
AdaBoost,SMOTEENN,1,[2 4 6 8 10 12],1,0.827,7.475
AdaBoost,SMOTEENN,1,[2 4 6 8 10 12],2,0.816,8.218
AdaBoost,SMOTEENN,1,[2 4 6 8 10 12],avg,0.824
AdaBoost,SMOTETomek,1,[2 4 6 8 10 12],0,0.834,9.607
AdaBoost,SMOTETomek,1,[2 4 6 8 10 12],1,0.819,10.028
AdaBoost,SMOTETomek,1,[2 4 6 8 10 12],2,0.814,9.826
AdaBoost,SMOTETomek,1,[2 4 6 8 10 12],avg,0.822
AdaBoost,RandomOverSampler,1,[2 4 6 8 10 12],0,0.824,5.925
AdaBoost,RandomOverSampler,1,[2 4 6 8 10 12],1,0.84,5.297
AdaBoost,RandomOverSampler,1,[2 4 6 8 10 12],2,0.85,5.226
AdaBoost,RandomOverSampler,1,[2 4 6 8 10 12],avg,0.838
