,classifier,sampler,np_a,np_b,fold,AUC,time
37,RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],1,1,0.983,10.097000000000001
38,RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],1,2,0.983,10.784
39,RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],1,avg,0.97,
40,AdaBoost,DummySampler,[1 2 4 6 8 10 12],1,0,0.9390000000000001,18.787
41,AdaBoost,DummySampler,[1 2 4 6 8 10 12],1,1,0.9159999999999999,17.901
42,AdaBoost,DummySampler,[1 2 4 6 8 10 12],1,2,0.878,18.601
43,AdaBoost,DummySampler,[1 2 4 6 8 10 12],1,avg,0.9109999999999999,
44,AdaBoost,SMOTE,[1 2 4 6 8 10 12],1,0,0.9179999999999999,52.141000000000005
45,AdaBoost,SMOTE,[1 2 4 6 8 10 12],1,1,0.914,77.33
46,AdaBoost,SMOTE,[1 2 4 6 8 10 12],1,2,0.847,62.578
47,AdaBoost,SMOTE,[1 2 4 6 8 10 12],1,avg,0.893,
48,AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],1,0,0.917,65.414
49,AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],1,1,0.902,105.431
50,AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],1,2,0.862,64.365
51,AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],1,avg,0.894,
52,AdaBoost,SMOTETomek,[1 2 4 6 8 10 12],1,0,0.914,98.264
53,AdaBoost,SMOTETomek,[1 2 4 6 8 10 12],1,1,0.895,92.429
54,AdaBoost,SMOTETomek,[1 2 4 6 8 10 12],1,2,0.846,96.96799999999999
55,AdaBoost,SMOTETomek,[1 2 4 6 8 10 12],1,avg,0.885,
56,AdaBoost,RandomOverSampler,[1 2 4 6 8 10 12],1,0,0.9359999999999999,34.617
57,AdaBoost,RandomOverSampler,[1 2 4 6 8 10 12],1,1,0.9209999999999999,34.693000000000005
58,AdaBoost,RandomOverSampler,[1 2 4 6 8 10 12],1,2,0.8809999999999999,35.104
59,AdaBoost,RandomOverSampler,[1 2 4 6 8 10 12],1,avg,0.9129999999999999,
60,GradientBoosting,DummySampler,[1 2 4 6 8 10 12],12,0,0.946,49.254
61,GradientBoosting,DummySampler,[1 2 4 6 8 10 12],12,1,0.8809999999999999,48.848
62,GradientBoosting,DummySampler,[1 2 4 6 8 10 12],12,2,0.922,54.125
63,GradientBoosting,DummySampler,[1 2 4 6 8 10 12],12,avg,0.9159999999999999,
64,GradientBoosting,SMOTE,[1 2 4 6 8 10 12],12,0,0.929,155.59
65,GradientBoosting,SMOTE,[1 2 4 6 8 10 12],12,1,0.889,152.387
66,GradientBoosting,SMOTE,[1 2 4 6 8 10 12],12,2,0.892,155.333
67,GradientBoosting,SMOTE,[1 2 4 6 8 10 12],12,avg,0.904,
68,GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],12,0,0.929,176.704
69,GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],12,1,0.889,177.27700000000002
70,GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],12,2,0.8959999999999999,178.308
71,GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],12,avg,0.905,
72,GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],12,0,0.9279999999999999,209.47
73,GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],12,1,0.8909999999999999,204.477
74,GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],12,2,0.887,207.231
75,GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],12,avg,0.902,
76,GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],12,0,0.9570000000000001,140.923
77,GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],12,1,0.895,140.561
78,GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],12,2,0.924,152.10399999999998
79,GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],12,avg,0.9259999999999999,
80,RandomForest,DummySampler,[1 2 4 6 8 10 12],12,0,0.99,3.03
81,RandomForest,DummySampler,[1 2 4 6 8 10 12],12,1,0.97,2.459
82,RandomForest,DummySampler,[1 2 4 6 8 10 12],12,2,0.897,2.4330000000000003
83,RandomForest,DummySampler,[1 2 4 6 8 10 12],12,avg,0.9520000000000001,
84,RandomForest,SMOTE,[1 2 4 6 8 10 12],12,0,0.988,11.249
85,RandomForest,SMOTE,[1 2 4 6 8 10 12],12,1,0.955,11.405
86,RandomForest,SMOTE,[1 2 4 6 8 10 12],12,2,0.892,11.314
87,RandomForest,SMOTE,[1 2 4 6 8 10 12],12,avg,0.945,
88,RandomForest,SMOTEENN,[1 2 4 6 8 10 12],12,0,0.986,37.806999999999995
89,RandomForest,SMOTEENN,[1 2 4 6 8 10 12],12,1,0.9590000000000001,34.274
90,RandomForest,SMOTEENN,[1 2 4 6 8 10 12],12,2,0.887,37.93
91,RandomForest,SMOTEENN,[1 2 4 6 8 10 12],12,avg,0.9440000000000001,
92,RandomForest,SMOTETomek,[1 2 4 6 8 10 12],12,0,0.987,64.815
93,RandomForest,SMOTETomek,[1 2 4 6 8 10 12],12,1,0.9470000000000001,79.697
94,RandomForest,SMOTETomek,[1 2 4 6 8 10 12],12,2,0.888,83.184
95,RandomForest,SMOTETomek,[1 2 4 6 8 10 12],12,avg,0.941,
96,RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],12,0,0.99,9.45
97,RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],12,1,0.97,8.963
98,RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],12,2,0.9009999999999999,9.312000000000001
99,RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],12,avg,0.9540000000000001,
100,AdaBoost,DummySampler,[1 2 4 6 8 10 12],12,0,0.915,15.515999999999998
101,AdaBoost,DummySampler,[1 2 4 6 8 10 12],12,1,0.86,14.64
102,AdaBoost,DummySampler,[1 2 4 6 8 10 12],12,2,0.8490000000000001,14.659
103,AdaBoost,DummySampler,[1 2 4 6 8 10 12],12,avg,0.875,
104,AdaBoost,SMOTE,[1 2 4 6 8 10 12],12,0,0.8809999999999999,48.839
105,AdaBoost,SMOTE,[1 2 4 6 8 10 12],12,1,0.845,43.608000000000004
106,AdaBoost,SMOTE,[1 2 4 6 8 10 12],12,2,0.815,44.894
107,AdaBoost,SMOTE,[1 2 4 6 8 10 12],12,avg,0.847,
108,AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],12,0,0.884,71.513
109,AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],12,1,0.8440000000000001,70.835
110,AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],12,2,0.818,72.569
111,AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],12,avg,0.8490000000000001,
112,AdaBoost,SMOTETomek,[1 2 4 6 8 10 12],12,0,0.8859999999999999,109.454
113,AdaBoost,SMOTETomek,[1 2 4 6 8 10 12],12,1,0.845,105.178
114,AdaBoost,SMOTETomek,[1 2 4 6 8 10 12],12,2,0.8059999999999999,111.796
115,AdaBoost,SMOTETomek,[1 2 4 6 8 10 12],12,avg,0.846,
116,AdaBoost,RandomOverSampler,[1 2 4 6 8 10 12],12,0,0.9159999999999999,44.945
117,AdaBoost,RandomOverSampler,[1 2 4 6 8 10 12],12,1,0.863,41.542
118,AdaBoost,RandomOverSampler,[1 2 4 6 8 10 12],12,2,0.8490000000000001,34.775999999999996
119,AdaBoost,RandomOverSampler,[1 2 4 6 8 10 12],12,avg,0.8759999999999999,
120,GradientBoosting,DummySampler,1,[1 2 4 6 8 10 12],0,0.87,4.121
121,GradientBoosting,DummySampler,1,[1 2 4 6 8 10 12],1,0.835,4.144
122,GradientBoosting,DummySampler,1,[1 2 4 6 8 10 12],2,0.847,4.105
123,GradientBoosting,DummySampler,1,[1 2 4 6 8 10 12],avg,0.851,
124,GradientBoosting,SMOTE,1,[1 2 4 6 8 10 12],0,0.8759999999999999,12.39
125,GradientBoosting,SMOTE,1,[1 2 4 6 8 10 12],1,0.861,12.821
126,GradientBoosting,SMOTE,1,[1 2 4 6 8 10 12],2,0.858,12.155999999999999
127,GradientBoosting,SMOTE,1,[1 2 4 6 8 10 12],avg,0.865,
128,GradientBoosting,SMOTEENN,1,[1 2 4 6 8 10 12],0,0.8740000000000001,13.808
129,GradientBoosting,SMOTEENN,1,[1 2 4 6 8 10 12],1,0.867,13.927999999999999
130,GradientBoosting,SMOTEENN,1,[1 2 4 6 8 10 12],2,0.8640000000000001,13.097000000000001
131,GradientBoosting,SMOTEENN,1,[1 2 4 6 8 10 12],avg,0.868,
132,GradientBoosting,SMOTETomek,1,[1 2 4 6 8 10 12],0,0.866,15.168
133,GradientBoosting,SMOTETomek,1,[1 2 4 6 8 10 12],1,0.862,14.34
134,GradientBoosting,SMOTETomek,1,[1 2 4 6 8 10 12],2,0.867,14.625
135,GradientBoosting,SMOTETomek,1,[1 2 4 6 8 10 12],avg,0.865,
136,GradientBoosting,RandomOverSampler,1,[1 2 4 6 8 10 12],0,0.883,10.447000000000001
137,GradientBoosting,RandomOverSampler,1,[1 2 4 6 8 10 12],1,0.88,10.397
138,GradientBoosting,RandomOverSampler,1,[1 2 4 6 8 10 12],2,0.885,10.552999999999999
139,GradientBoosting,RandomOverSampler,1,[1 2 4 6 8 10 12],avg,0.883,
140,RandomForest,DummySampler,1,[1 2 4 6 8 10 12],0,0.802,0.35100000000000003
141,RandomForest,DummySampler,1,[1 2 4 6 8 10 12],1,0.773,0.3
142,RandomForest,DummySampler,1,[1 2 4 6 8 10 12],2,0.833,0.312
143,RandomForest,DummySampler,1,[1 2 4 6 8 10 12],avg,0.802,
144,RandomForest,SMOTE,1,[1 2 4 6 8 10 12],0,0.7959999999999999,1.306
145,RandomForest,SMOTE,1,[1 2 4 6 8 10 12],1,0.81,1.183
146,RandomForest,SMOTE,1,[1 2 4 6 8 10 12],2,0.8190000000000001,1.113
147,RandomForest,SMOTE,1,[1 2 4 6 8 10 12],avg,0.809,
148,RandomForest,SMOTEENN,1,[1 2 4 6 8 10 12],0,0.835,2.092
149,RandomForest,SMOTEENN,1,[1 2 4 6 8 10 12],1,0.833,1.7719999999999998
150,RandomForest,SMOTEENN,1,[1 2 4 6 8 10 12],2,0.852,1.837
151,RandomForest,SMOTEENN,1,[1 2 4 6 8 10 12],avg,0.84,
152,RandomForest,SMOTETomek,1,[1 2 4 6 8 10 12],0,0.7979999999999999,3.737
153,RandomForest,SMOTETomek,1,[1 2 4 6 8 10 12],1,0.818,2.719
154,RandomForest,SMOTETomek,1,[1 2 4 6 8 10 12],2,0.825,3.563
155,RandomForest,SMOTETomek,1,[1 2 4 6 8 10 12],avg,0.813,
156,RandomForest,RandomOverSampler,1,[1 2 4 6 8 10 12],0,0.815,0.669
157,RandomForest,RandomOverSampler,1,[1 2 4 6 8 10 12],1,0.825,0.536
158,RandomForest,RandomOverSampler,1,[1 2 4 6 8 10 12],2,0.838,0.522
159,RandomForest,RandomOverSampler,1,[1 2 4 6 8 10 12],avg,0.826,
160,AdaBoost,DummySampler,1,[1 2 4 6 8 10 12],0,0.8340000000000001,2.352
161,AdaBoost,DummySampler,1,[1 2 4 6 8 10 12],1,0.835,2.292
162,AdaBoost,DummySampler,1,[1 2 4 6 8 10 12],2,0.855,2.269
163,AdaBoost,DummySampler,1,[1 2 4 6 8 10 12],avg,0.8420000000000001,
164,AdaBoost,SMOTE,1,[1 2 4 6 8 10 12],0,0.843,6.296
165,AdaBoost,SMOTE,1,[1 2 4 6 8 10 12],1,0.816,6.398
166,AdaBoost,SMOTE,1,[1 2 4 6 8 10 12],2,0.8029999999999999,6.007000000000001
167,AdaBoost,SMOTE,1,[1 2 4 6 8 10 12],avg,0.821,
168,AdaBoost,SMOTEENN,1,[1 2 4 6 8 10 12],0,0.838,7.065
169,AdaBoost,SMOTEENN,1,[1 2 4 6 8 10 12],1,0.821,7.122000000000001
170,AdaBoost,SMOTEENN,1,[1 2 4 6 8 10 12],2,0.802,6.707000000000001
171,AdaBoost,SMOTEENN,1,[1 2 4 6 8 10 12],avg,0.82,
172,AdaBoost,SMOTETomek,1,[1 2 4 6 8 10 12],0,0.831,8.73
173,AdaBoost,SMOTETomek,1,[1 2 4 6 8 10 12],1,0.815,7.917000000000001
174,AdaBoost,SMOTETomek,1,[1 2 4 6 8 10 12],2,0.809,8.449
175,AdaBoost,SMOTETomek,1,[1 2 4 6 8 10 12],avg,0.818,
176,AdaBoost,RandomOverSampler,1,[1 2 4 6 8 10 12],0,0.835,4.037
177,AdaBoost,RandomOverSampler,1,[1 2 4 6 8 10 12],1,0.8320000000000001,4.047
178,AdaBoost,RandomOverSampler,1,[1 2 4 6 8 10 12],2,0.85,3.9819999999999998
179,AdaBoost,RandomOverSampler,1,[1 2 4 6 8 10 12],avg,0.8390000000000001,
180,GradientBoosting,DummySampler,12,[1 2 4 6 8 10 12],0,0.8590000000000001,5.216
181,GradientBoosting,DummySampler,12,[1 2 4 6 8 10 12],1,0.858,5.275
182,GradientBoosting,DummySampler,12,[1 2 4 6 8 10 12],2,0.861,5.275
183,GradientBoosting,DummySampler,12,[1 2 4 6 8 10 12],avg,0.8590000000000001,
184,GradientBoosting,SMOTE,12,[1 2 4 6 8 10 12],0,0.8490000000000001,15.907
185,GradientBoosting,SMOTE,12,[1 2 4 6 8 10 12],1,0.879,16.529
186,GradientBoosting,SMOTE,12,[1 2 4 6 8 10 12],2,0.8759999999999999,15.9
187,GradientBoosting,SMOTE,12,[1 2 4 6 8 10 12],avg,0.868,
188,GradientBoosting,SMOTEENN,12,[1 2 4 6 8 10 12],0,0.852,17.395
189,GradientBoosting,SMOTEENN,12,[1 2 4 6 8 10 12],1,0.883,17.118
190,GradientBoosting,SMOTEENN,12,[1 2 4 6 8 10 12],2,0.8690000000000001,17.363
191,GradientBoosting,SMOTEENN,12,[1 2 4 6 8 10 12],avg,0.868,
192,GradientBoosting,SMOTETomek,12,[1 2 4 6 8 10 12],0,0.852,19.968
193,GradientBoosting,SMOTETomek,12,[1 2 4 6 8 10 12],1,0.877,18.215999999999998
194,GradientBoosting,SMOTETomek,12,[1 2 4 6 8 10 12],2,0.87,19.236
195,GradientBoosting,SMOTETomek,12,[1 2 4 6 8 10 12],avg,0.867,
196,GradientBoosting,RandomOverSampler,12,[1 2 4 6 8 10 12],0,0.866,13.304
197,GradientBoosting,RandomOverSampler,12,[1 2 4 6 8 10 12],1,0.892,13.029000000000002
198,GradientBoosting,RandomOverSampler,12,[1 2 4 6 8 10 12],2,0.895,12.982999999999999
199,GradientBoosting,RandomOverSampler,12,[1 2 4 6 8 10 12],avg,0.884,
200,RandomForest,DummySampler,12,[1 2 4 6 8 10 12],0,0.821,0.409
201,RandomForest,DummySampler,12,[1 2 4 6 8 10 12],1,0.825,0.386
202,RandomForest,DummySampler,12,[1 2 4 6 8 10 12],2,0.863,0.355
203,RandomForest,DummySampler,12,[1 2 4 6 8 10 12],avg,0.836,
204,RandomForest,SMOTE,12,[1 2 4 6 8 10 12],0,0.767,1.493
205,RandomForest,SMOTE,12,[1 2 4 6 8 10 12],1,0.833,1.317
206,RandomForest,SMOTE,12,[1 2 4 6 8 10 12],2,0.8420000000000001,1.341
207,RandomForest,SMOTE,12,[1 2 4 6 8 10 12],avg,0.8140000000000001,
208,RandomForest,SMOTEENN,12,[1 2 4 6 8 10 12],0,0.807,2.9019999999999997
209,RandomForest,SMOTEENN,12,[1 2 4 6 8 10 12],1,0.857,2.153
210,RandomForest,SMOTEENN,12,[1 2 4 6 8 10 12],2,0.878,2.549
211,RandomForest,SMOTEENN,12,[1 2 4 6 8 10 12],avg,0.847,
212,RandomForest,SMOTETomek,12,[1 2 4 6 8 10 12],0,0.7709999999999999,5.129
213,RandomForest,SMOTETomek,12,[1 2 4 6 8 10 12],1,0.825,3.555
214,RandomForest,SMOTETomek,12,[1 2 4 6 8 10 12],2,0.846,4.896
215,RandomForest,SMOTETomek,12,[1 2 4 6 8 10 12],avg,0.8140000000000001,
216,RandomForest,RandomOverSampler,12,[1 2 4 6 8 10 12],0,0.8170000000000001,0.747
217,RandomForest,RandomOverSampler,12,[1 2 4 6 8 10 12],1,0.872,0.635
218,RandomForest,RandomOverSampler,12,[1 2 4 6 8 10 12],2,0.878,0.728
219,RandomForest,RandomOverSampler,12,[1 2 4 6 8 10 12],avg,0.855,
220,AdaBoost,DummySampler,12,[1 2 4 6 8 10 12],0,0.8270000000000001,2.725
221,AdaBoost,DummySampler,12,[1 2 4 6 8 10 12],1,0.841,2.932
222,AdaBoost,DummySampler,12,[1 2 4 6 8 10 12],2,0.8,2.782
223,AdaBoost,DummySampler,12,[1 2 4 6 8 10 12],avg,0.823,
224,AdaBoost,SMOTE,12,[1 2 4 6 8 10 12],0,0.826,7.816
225,AdaBoost,SMOTE,12,[1 2 4 6 8 10 12],1,0.8170000000000001,8.05
226,AdaBoost,SMOTE,12,[1 2 4 6 8 10 12],2,0.812,7.267
227,AdaBoost,SMOTE,12,[1 2 4 6 8 10 12],avg,0.818,
228,AdaBoost,SMOTEENN,12,[1 2 4 6 8 10 12],0,0.8340000000000001,8.839
229,AdaBoost,SMOTEENN,12,[1 2 4 6 8 10 12],1,0.828,9.472000000000001
230,AdaBoost,SMOTEENN,12,[1 2 4 6 8 10 12],2,0.812,10.031
231,AdaBoost,SMOTEENN,12,[1 2 4 6 8 10 12],avg,0.825,
232,AdaBoost,SMOTETomek,12,[1 2 4 6 8 10 12],0,0.831,12.151
233,AdaBoost,SMOTETomek,12,[1 2 4 6 8 10 12],1,0.8220000000000001,10.966
234,AdaBoost,SMOTETomek,12,[1 2 4 6 8 10 12],2,0.795,13.318
235,AdaBoost,SMOTETomek,12,[1 2 4 6 8 10 12],avg,0.816,
236,AdaBoost,RandomOverSampler,12,[1 2 4 6 8 10 12],0,0.8220000000000001,6.654
237,AdaBoost,RandomOverSampler,12,[1 2 4 6 8 10 12],1,0.845,5.96
238,AdaBoost,RandomOverSampler,12,[1 2 4 6 8 10 12],2,0.809,5.516
239,AdaBoost,RandomOverSampler,12,[1 2 4 6 8 10 12],avg,0.825,
0,GradientBoosting,DummySampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.9390000000000001,58.049
1,GradientBoosting,DummySampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.919,54.614
2,GradientBoosting,DummySampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.9259999999999999,57.214
3,GradientBoosting,DummySampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.9279999999999999,
4,GradientBoosting,SMOTE,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.922,185.69099999999997
5,GradientBoosting,SMOTE,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.91,164.735
6,GradientBoosting,SMOTE,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.9109999999999999,186.335
7,GradientBoosting,SMOTE,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.914,
8,GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.9259999999999999,233.826
9,GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.909,176.923
10,GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.9129999999999999,175.75
11,GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.9159999999999999,
12,GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.919,219.403
13,GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.9079999999999999,220.582
14,GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.9109999999999999,214.178
15,GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.9129999999999999,
16,GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.948,143.868
17,GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.9309999999999999,151.082
18,GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.9329999999999999,150.564
19,GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.937,
20,RandomForest,DummySampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.919,2.858
21,RandomForest,DummySampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.935,2.583
22,RandomForest,DummySampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.9229999999999999,2.923
23,RandomForest,DummySampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.9259999999999999,
24,RandomForest,SMOTE,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.9209999999999999,11.946
25,RandomForest,SMOTE,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.9390000000000001,11.360999999999999
26,RandomForest,SMOTE,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.919,12.130999999999998
27,RandomForest,SMOTE,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.9259999999999999,
28,RandomForest,SMOTEENN,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.917,37.699
29,RandomForest,SMOTEENN,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.943,29.048000000000002
30,RandomForest,SMOTEENN,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.919,28.96
31,RandomForest,SMOTEENN,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.9259999999999999,
32,RandomForest,SMOTETomek,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.9159999999999999,62.485
33,RandomForest,SMOTETomek,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.9329999999999999,65.366
34,RandomForest,SMOTETomek,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.914,73.931
35,RandomForest,SMOTETomek,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.9209999999999999,
36,RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.9179999999999999,6.263999999999999
37,RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.9359999999999999,5.792000000000001
38,RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.9229999999999999,5.865
39,RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.9259999999999999,
40,AdaBoost,DummySampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.905,14.693
41,AdaBoost,DummySampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.88,15.262
42,AdaBoost,DummySampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.882,14.839
43,AdaBoost,DummySampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.889,
44,AdaBoost,SMOTE,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.88,43.613
45,AdaBoost,SMOTE,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.863,39.003
46,AdaBoost,SMOTE,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.855,38.336999999999996
47,AdaBoost,SMOTE,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.866,
48,AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.883,58.647
49,AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.8590000000000001,55.698
50,AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.8540000000000001,57.153
51,AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.866,
52,AdaBoost,SMOTETomek,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.88,90.339
53,AdaBoost,SMOTETomek,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.863,86.182
54,AdaBoost,SMOTETomek,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.851,96.91799999999999
55,AdaBoost,SMOTETomek,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.865,
56,AdaBoost,RandomOverSampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],0,0.907,32.598
57,AdaBoost,RandomOverSampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],1,0.88,33.82
58,AdaBoost,RandomOverSampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],2,0.884,34.181999999999995
59,AdaBoost,RandomOverSampler,[1 2 4 6 8 10 12],[1 2 4 6 8 10 12],avg,0.89,
