,classifier,sampler,np_a,np_b,fold,AUC,time
101,AdaBoost,DummySampler,1,12,1,0.7190000000000001,1.9509999999999998
102,AdaBoost,DummySampler,1,12,2,0.7659999999999999,1.9709999999999999
103,AdaBoost,DummySampler,1,12,avg,0.742,
104,AdaBoost,SMOTE,1,12,0,0.787,6.039
105,AdaBoost,SMOTE,1,12,1,0.7509999999999999,5.972
106,AdaBoost,SMOTE,1,12,2,0.688,5.603
107,AdaBoost,SMOTE,1,12,avg,0.742,
108,AdaBoost,SMOTEENN,1,12,0,0.79,6.795
109,AdaBoost,SMOTEENN,1,12,1,0.758,6.944
110,AdaBoost,SMOTEENN,1,12,2,0.6559999999999999,6.8870000000000005
111,AdaBoost,SMOTEENN,1,12,avg,0.735,
112,AdaBoost,SMOTETomek,1,12,0,0.777,8.633
113,AdaBoost,SMOTETomek,1,12,1,0.7609999999999999,7.992999999999999
114,AdaBoost,SMOTETomek,1,12,2,0.672,8.326
115,AdaBoost,SMOTETomek,1,12,avg,0.737,
116,AdaBoost,RandomOverSampler,1,12,0,0.74,3.6430000000000002
117,AdaBoost,RandomOverSampler,1,12,1,0.745,3.6839999999999997
118,AdaBoost,RandomOverSampler,1,12,2,0.777,3.675
119,AdaBoost,RandomOverSampler,1,12,avg,0.754,
120,GradientBoosting,DummySampler,12,1,0,0.779,6.042999999999999
121,GradientBoosting,DummySampler,12,1,1,0.743,5.572
122,GradientBoosting,DummySampler,12,1,2,0.784,5.401
123,GradientBoosting,DummySampler,12,1,avg,0.768,
124,GradientBoosting,SMOTE,12,1,0,0.8,19.355
125,GradientBoosting,SMOTE,12,1,1,0.8690000000000001,20.949
126,GradientBoosting,SMOTE,12,1,2,0.8109999999999999,18.489
127,GradientBoosting,SMOTE,12,1,avg,0.8270000000000001,
128,GradientBoosting,SMOTEENN,12,1,0,0.79,22.133000000000003
129,GradientBoosting,SMOTEENN,12,1,1,0.8690000000000001,23.375
130,GradientBoosting,SMOTEENN,12,1,2,0.8140000000000001,27.389
131,GradientBoosting,SMOTEENN,12,1,avg,0.8240000000000001,
132,GradientBoosting,SMOTETomek,12,1,0,0.789,30.51
133,GradientBoosting,SMOTETomek,12,1,1,0.862,20.965999999999998
134,GradientBoosting,SMOTETomek,12,1,2,0.79,21.158
135,GradientBoosting,SMOTETomek,12,1,avg,0.8140000000000001,
